new_date,flat_type,district,range_numeric,floor_area_sqm,lease_commence_date,resale_price
2025.0833333333333,2 ROOM,North-East,11.0,44.0,1978,318000.0
2025.0833333333333,3 ROOM,North-East,14.0,70.0,2012,650000.0
2025.0833333333333,3 ROOM,North-East,11.0,68.0,1981,410000.0
2025.0833333333333,3 ROOM,North-East,5.0,73.0,1977,448000.0
2025.0833333333333,3 ROOM,North-East,14.0,68.0,1980,415000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1979,520000.0
2025.0833333333333,3 ROOM,North-East,11.0,68.0,1980,412888.0
2025.0833333333333,3 ROOM,North-East,8.0,75.0,1980,440000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1979,478000.0
2025.0833333333333,3 ROOM,North-East,11.0,74.0,1979,438888.0
2025.0833333333333,3 ROOM,North-East,11.0,82.0,1979,490888.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,1984,425000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1978,480000.0
2025.0833333333333,3 ROOM,North-East,2.0,67.0,1978,420000.0
2025.0833333333333,3 ROOM,North-East,2.0,67.0,1978,472000.0
2025.0833333333333,3 ROOM,North-East,5.0,82.0,1979,520000.0
2025.0833333333333,3 ROOM,North-East,5.0,68.0,1980,418000.0
2025.0833333333333,3 ROOM,North-East,5.0,89.0,1978,475000.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,1978,450000.0
2025.0833333333333,3 ROOM,North-East,5.0,68.0,1981,388000.0
2025.0833333333333,3 ROOM,North-East,8.0,67.0,1980,405000.0
2025.0833333333333,3 ROOM,North-East,8.0,82.0,1980,480000.0
2025.0833333333333,3 ROOM,North-East,8.0,81.0,1980,453000.0
2025.0833333333333,3 ROOM,North-East,2.0,68.0,1981,380000.0
2025.0833333333333,3 ROOM,North-East,11.0,68.0,1980,452000.0
2025.0833333333333,4 ROOM,North-East,14.0,91.0,1982,582000.0
2025.0833333333333,4 ROOM,North-East,2.0,92.0,1981,533000.0
2025.0833333333333,4 ROOM,North-East,8.0,92.0,1978,555000.0
2025.0833333333333,4 ROOM,North-East,8.0,91.0,1980,518888.0
2025.0833333333333,4 ROOM,North-East,8.0,93.0,2019,985000.0
2025.0833333333333,4 ROOM,North-East,11.0,91.0,2002,840000.0
2025.0833333333333,5 ROOM,North-East,5.0,135.0,1982,910000.0
2025.0833333333333,EXECUTIVE,North-East,8.0,149.0,1996,1100000.0
2025.0833333333333,3 ROOM,East,8.0,67.0,1979,419000.0
2025.0833333333333,3 ROOM,East,11.0,67.0,1979,420000.0
2025.0833333333333,3 ROOM,East,11.0,82.0,1977,432000.0
2025.0833333333333,3 ROOM,East,8.0,67.0,1978,425000.0
2025.0833333333333,3 ROOM,East,5.0,68.0,1980,428888.0
2025.0833333333333,3 ROOM,East,5.0,70.0,1978,440000.0
2025.0833333333333,3 ROOM,East,8.0,64.0,1988,490000.0
2025.0833333333333,3 ROOM,East,11.0,65.0,1976,440000.0
2025.0833333333333,3 ROOM,East,11.0,73.0,1974,410000.0
2025.0833333333333,3 ROOM,East,11.0,65.0,1977,418000.0
2025.0833333333333,4 ROOM,East,2.0,92.0,2005,688000.0
