new_date,flat_type,district,range_numeric,floor_area_sqm,lease_commence_date,resale_price
1990-01-01,2 ROOM,East,8.0,45.0,1986,23000.0
1990-01-01,2 ROOM,East,14.0,45.0,1986,26000.0
1990-01-01,2 ROOM,Central,5.0,51.0,1971,23000.0
1990-01-01,2 ROOM,Central,11.0,53.0,1971,30000.0
1990-01-01,2 ROOM,Central,5.0,43.0,1983,28000.0
1990-01-01,2 ROOM,Central,5.0,38.0,1974,22000.0
1990-01-01,2 ROOM,Central,5.0,38.0,1974,23200.0
1990-01-01,2 ROOM,Central,2.0,41.0,1974,18700.0
1990-01-01,2 ROOM,Central,5.0,45.0,1967,15000.0
1990-01-01,2 ROOM,Central,5.0,45.0,1967,19000.0
1990-01-01,2 ROOM,Central,11.0,50.0,1968,12000.0
1990-01-01,2 ROOM,Central,8.0,45.0,1971,18000.0
1990-01-01,2 ROOM,Central,2.0,40.0,1971,19100.0
1990-01-01,2 ROOM,Central,2.0,41.0,1971,19000.0
1990-01-01,2 ROOM,Central,8.0,40.0,1971,14000.0
1990-01-01,2 ROOM,Central,5.0,40.0,1971,18900.0
1990-01-01,2 ROOM,Central,8.0,50.0,1970,15300.0
1990-01-01,2 ROOM,Central,2.0,46.0,1967,13500.0
1990-01-01,2 ROOM,Central,8.0,46.0,1967,19000.0
1990-01-01,2 ROOM,Central,11.0,46.0,1967,16000.0
1990-01-01,2 ROOM,Central,2.0,46.0,1969,13800.0
1990-01-01,2 ROOM,Central,5.0,46.0,1969,19100.0
1990-01-01,2 ROOM,Central,2.0,42.0,1969,19100.0
1990-01-01,2 ROOM,Central,2.0,40.0,1969,13500.0
1990-01-01,2 ROOM,Central,8.0,40.0,1969,19100.0
1990-01-01,2 ROOM,Central,2.0,40.0,1969,18500.0
1990-01-01,2 ROOM,Central,2.0,45.0,1969,15500.0
1990-01-01,2 ROOM,Central,5.0,46.0,1970,14000.0
1990-01-01,2 ROOM,Central,2.0,46.0,1971,15000.0
1990-01-01,2 ROOM,Central,2.0,46.0,1971,19100.0
1990-01-01,2 ROOM,Central,2.0,46.0,1971,15000.0
1990-01-01,2 ROOM,Central,8.0,46.0,1971,19000.0
1990-01-01,2 ROOM,Central,8.0,46.0,1973,19000.0
1990-01-01,2 ROOM,Central,5.0,42.0,1973,18500.0
1990-01-01,2 ROOM,Central,2.0,46.0,1973,19100.0
1990-01-01,2 ROOM,Central,11.0,40.0,1968,19000.0
1990-01-01,2 ROOM,Central,5.0,40.0,1968,18900.0
1990-01-01,2 ROOM,Central,11.0,40.0,1968,17000.0
1990-03-01,2 ROOM,North-East,2.0,45.0,1986,22200.0
1990-03-01,2 ROOM,East,8.0,45.0,1986,31200.0
1990-03-01,2 ROOM,East,5.0,45.0,1986,22200.0
