year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
1990-01-01,79955.13432835821,78000.0,88500.0,70000.0,24.3,,,
1990-02-01,79955.13432835821,78000.0,88500.0,70000.0,24.3,,79955.13432835821,
1990-03-01,81961.31004366813,80000.0,90000.0,70500.0,24.3,,79955.13432835821,78666.66666666667
1990-04-01,81236.38888888889,80000.0,88500.0,70650.0,24.3972,0.40%,81961.31004366813,79333.33333333333
1990-05-01,81236.38888888889,80000.0,88500.0,70650.0,24.3972,0.40%,81236.38888888889,80000.0
1990-06-01,83309.64467005077,80000.0,92000.0,70000.0,24.3972,0.40%,81236.38888888889,80000.0
1990-07-01,82660.28355387524,82000.0,93000.0,70000.0,25.00713,2.50%,83309.64467005077,80666.66666666667
1990-08-01,82660.28355387524,82000.0,93000.0,70000.0,25.00713,2.50%,82660.28355387524,81333.33333333333
1990-09-01,81283.5687732342,80000.0,90000.0,70000.0,25.00713,2.50%,82660.28355387524,81333.33333333333
1990-10-01,81413.42592592593,80000.0,90000.0,70000.0,24.70704444,-1.20%,81283.5687732342,80666.66666666667
1990-11-01,81413.42592592593,80000.0,90000.0,70000.0,24.70704444,-1.20%,81413.42592592593,80000.0
1990-12-01,82793.26599326599,80000.0,90500.0,70000.0,24.70704444,-1.20%,81413.42592592593,80000.0
1991-01-01,81505.46308724832,80000.0,91500.0,69000.0,24.9047008,0.80%,82793.26599326599,80000.0
1991-02-01,81505.46308724832,80000.0,91500.0,69000.0,24.9047008,0.80%,81505.46308724832,80000.0
1991-03-01,81117.32673267326,75050.0,92000.0,66250.0,24.9047008,0.80%,81505.46308724832,78350.0
1991-04-01,80457.09030837004,79500.0,90750.0,70000.0,25.50241361,2.40%,81117.32673267326,78183.33333333333
1991-05-01,80457.09030837004,79500.0,90750.0,70000.0,25.50241361,2.40%,80457.09030837004,78016.66666666667
1991-06-01,80748.04780876494,80000.0,91000.0,66000.0,25.50241361,2.40%,80457.09030837004,79666.66666666667
1991-07-01,82659.3243697479,80000.0,92000.0,70000.0,25.19638465,-1.20%,80748.04780876494,79833.33333333333
1991-08-01,82659.3243697479,80000.0,92000.0,70000.0,25.19638465,-1.20%,82659.3243697479,80000.0
1991-09-01,82887.32484076433,80000.0,91410.0,70000.0,25.19638465,-1.20%,82659.3243697479,80000.0
1991-10-01,82976.34375,81000.0,95000.0,68000.0,25.09559911,-0.40%,82887.32484076433,80333.33333333333
1991-11-01,82976.34375,81000.0,95000.0,68000.0,25.09559911,-0.40%,82976.34375,80666.66666666667
1991-12-01,81467.21893491125,80000.0,93000.0,65000.0,25.09559911,-0.40%,82976.34375,80666.66666666667
1992-01-01,82223.84879725086,80000.0,92300.0,67000.0,25.79827589,2.80%,81467.21893491125,80333.33333333333
1992-02-01,82223.84879725086,80000.0,92300.0,67000.0,25.79827589,2.80%,82223.84879725086,80000.0
1992-03-01,83792.12121212122,80000.0,93250.0,65875.0,25.79827589,2.80%,82223.84879725086,80000.0
1992-04-01,87201.57627118644,85000.0,98925.0,70525.0,27.39776899,6.20%,83792.12121212122,81666.66666666667
1992-05-01,87201.57627118644,85000.0,98925.0,70525.0,27.39776899,6.20%,87201.57627118644,83333.33333333333
1992-06-01,91268.57142857143,88000.0,109250.0,70000.0,27.39776899,6.20%,87201.57627118644,86000.0
1992-07-01,90851.95335276968,88000.0,107875.0,71000.0,28.00051991,2.20%,91268.57142857143,87000.0
1992-08-01,90851.95335276968,88000.0,107875.0,71000.0,28.00051991,2.20%,90851.95335276968,88000.0
1992-09-01,92936.45054945054,89500.0,110250.0,71600.0,28.00051991,2.20%,90851.95335276968,88500.0
1992-10-01,93651.37172774869,90000.0,110000.0,72000.0,28.58853083,2.10%,92936.45054945054,89166.66666666667
1992-11-01,93651.37172774869,90000.0,110000.0,72000.0,28.58853083,2.10%,93651.37172774869,89833.33333333333
1992-12-01,96572.16545012165,93000.0,115000.0,76000.0,28.58853083,2.10%,93651.37172774869,91000.0
1993-01-01,95852.55720053836,92000.0,117000.0,72000.0,30.18948856,5.60%,96572.16545012165,91666.66666666667
1993-02-01,95852.55720053836,92000.0,117000.0,72000.0,30.18948856,5.60%,95852.55720053836,92333.33333333333
1993-03-01,96788.57142857143,93000.0,117000.0,72000.0,30.18948856,5.60%,95852.55720053836,92333.33333333333
1993-04-01,100021.6539050536,98500.0,120000.0,80000.0,39.5784195,31.10%,96788.57142857143,94500.0
1993-05-01,100021.6539050536,98500.0,120000.0,80000.0,39.5784195,31.10%,100021.6539050536,96666.66666666667
1993-06-01,111515.37336814622,115000.0,132000.0,90000.0,39.5784195,31.10%,100021.6539050536,104000.0
1993-07-01,127200.2842377261,125000.0,143000.0,110000.0,47.69199549,20.50%,111515.37336814622,112833.33333333333
1993-08-01,127200.2842377261,125000.0,143000.0,110000.0,47.69199549,20.50%,127200.2842377261,121666.66666666667
1993-09-01,142280.41474654377,140000.0,158000.0,125000.0,47.69199549,20.50%,127200.2842377261,130000.0
1993-10-01,152554.6397459165,154000.0,170000.0,133000.0,48.97967937,2.70%,142280.41474654377,139666.66666666666
1993-11-01,152554.6397459165,154000.0,170000.0,133000.0,48.97967937,2.70%,152554.6397459165,149333.33333333334
1993-12-01,159617.30201342283,160000.0,178000.0,140000.0,48.97967937,2.70%,152554.6397459165,156000.0
1994-01-01,162695.1660923501,163000.0,180000.0,145000.0,50.40009007,2.90%,159617.30201342283,159000.0
1994-02-01,162695.1660923501,163000.0,180000.0,145000.0,50.40009007,2.90%,162695.1660923501,162000.0
1994-03-01,164946.1578266494,165000.0,180000.0,150000.0,50.40009007,2.90%,162695.1660923501,163666.66666666666
1994-04-01,168729.23374114616,168000.0,185000.0,150000.0,51.71049241,2.60%,164946.1578266494,165333.33333333334
1994-05-01,168729.23374114616,168000.0,185000.0,150000.0,51.71049241,2.60%,168729.23374114616,167000.0
1994-06-01,174227.14666666667,172000.0,193000.0,154750.0,51.71049241,2.60%,168729.23374114616,169333.33333333334
