Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
0,1990,1,ANG MO KIO,1 ROOM,10 TO 12,31.0,IMPROVED,1977,86,9000.0,North-East,11.0
1,1990,1,ANG MO KIO,1 ROOM,04 TO 06,31.0,IMPROVED,1977,86,6000.0,North-East,5.0
2,1990,1,ANG MO KIO,1 ROOM,10 TO 12,31.0,IMPROVED,1977,86,8000.0,North-East,11.0
3,1990,1,ANG MO KIO,1 ROOM,07 TO 09,31.0,IMPROVED,1977,86,6000.0,North-East,8.0
410,1990,1,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,7300.0,Central,8.0
411,1990,1,BUKIT MERAH,1 ROOM,10 TO 12,29.0,IMPROVED,1969,78,7300.0,Central,11.0
412,1990,1,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,9000.0,Central,8.0
413,1990,1,BUKIT MERAH,1 ROOM,07 TO 09,31.0,IMPROVED,1975,84,9500.0,Central,8.0
414,1990,1,BUKIT MERAH,1 ROOM,07 TO 09,31.0,IMPROVED,1975,84,7300.0,Central,8.0
1507,1990,2,ANG MO KIO,1 ROOM,04 TO 06,31.0,IMPROVED,1977,86,8000.0,North-East,5.0
1508,1990,2,ANG MO KIO,1 ROOM,01 TO 03,31.0,IMPROVED,1977,86,8000.0,North-East,2.0
1785,1990,2,BUKIT MERAH,1 ROOM,01 TO 03,29.0,IMPROVED,1969,78,7300.0,Central,2.0
1786,1990,2,BUKIT MERAH,1 ROOM,01 TO 03,28.0,IMPROVED,1969,78,7300.0,Central,2.0
1787,1990,2,BUKIT MERAH,1 ROOM,01 TO 03,28.0,IMPROVED,1969,78,7300.0,Central,2.0
1788,1990,2,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,7300.0,Central,8.0
1789,1990,2,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,7500.0,Central,8.0
1790,1990,2,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,7300.0,Central,8.0
1791,1990,2,BUKIT MERAH,1 ROOM,01 TO 03,28.0,IMPROVED,1969,78,10000.0,Central,2.0
1792,1990,2,BUKIT MERAH,1 ROOM,10 TO 12,29.0,IMPROVED,1969,78,7500.0,Central,11.0
1793,1990,2,BUKIT MERAH,1 ROOM,04 TO 06,29.0,IMPROVED,1969,78,7300.0,Central,5.0
1794,1990,2,BUKIT MERAH,1 ROOM,01 TO 03,31.0,IMPROVED,1975,84,8000.0,Central,2.0
2438,1990,3,ANG MO KIO,1 ROOM,04 TO 06,31.0,IMPROVED,1977,86,7000.0,North-East,5.0
2439,1990,3,ANG MO KIO,1 ROOM,04 TO 06,31.0,IMPROVED,1977,86,9500.0,North-East,5.0
2440,1990,3,ANG MO KIO,1 ROOM,01 TO 03,31.0,IMPROVED,1977,86,5600.0,North-East,2.0
3877,1990,4,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,7300.0,Central,8.0
3878,1990,4,BUKIT MERAH,1 ROOM,10 TO 12,29.0,IMPROVED,1969,78,7000.0,Central,11.0
3879,1990,4,BUKIT MERAH,1 ROOM,01 TO 03,31.0,IMPROVED,1975,84,10200.0,Central,2.0
4635,1990,5,ANG MO KIO,1 ROOM,10 TO 12,31.0,IMPROVED,1977,86,7800.0,North-East,11.0
4849,1990,5,BUKIT MERAH,1 ROOM,01 TO 03,29.0,IMPROVED,1969,78,10400.0,Central,2.0
4850,1990,5,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,7300.0,Central,8.0
4851,1990,5,BUKIT MERAH,1 ROOM,10 TO 12,29.0,IMPROVED,1969,78,6000.0,Central,11.0
4852,1990,5,BUKIT MERAH,1 ROOM,07 TO 09,29.0,IMPROVED,1969,78,9200.0,Central,8.0
4853,1990,5,BUKIT MERAH,1 ROOM,04 TO 06,31.0,IMPROVED,1975,84,10000.0,Central,5.0
5413,1990,6,ANG MO KIO,1 ROOM,07 TO 09,31.0,IMPROVED,1977,86,7000.0,North-East,8.0
5639,1990,6,BUKIT MERAH,1 ROOM,04 TO 06,29.0,IMPROVED,1969,78,7300.0,Central,5.0
