Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
16347,1991,4,YISHUN,MULTI-GENERATION,04 TO 06,151.0,MULTI GENERATION,1987,95,150000.0,North,5.0
18128,1991,6,YISHUN,MULTI-GENERATION,10 TO 12,164.0,MULTI GENERATION,1987,95,180000.0,North,11.0
31093,1992,6,BISHAN,MULTI-GENERATION,10 TO 12,165.0,MULTI GENERATION,1987,94,292000.0,Central,11.0
33188,1992,7,YISHUN,MULTI-GENERATION,01 TO 03,179.0,MULTI GENERATION,1987,94,141000.0,North,2.0
34258,1992,8,TAMPINES,MULTI-GENERATION,07 TO 09,166.0,MULTI GENERATION,1987,94,290000.0,East,8.0
34442,1992,8,YISHUN,MULTI-GENERATION,10 TO 12,171.0,MULTI GENERATION,1987,94,200000.0,North,11.0
35634,1992,9,TAMPINES,MULTI-GENERATION,04 TO 06,150.0,MULTI GENERATION,1987,94,140000.0,East,5.0
35834,1992,9,YISHUN,MULTI-GENERATION,04 TO 06,159.0,MULTI GENERATION,1988,95,200000.0,North,5.0
35835,1992,9,YISHUN,MULTI-GENERATION,07 TO 09,163.0,MULTI GENERATION,1988,95,190000.0,North,8.0
35836,1992,9,YISHUN,MULTI-GENERATION,04 TO 06,164.0,MULTI GENERATION,1987,94,141400.0,North,5.0
35837,1992,9,YISHUN,MULTI-GENERATION,07 TO 09,179.0,MULTI GENERATION,1987,94,278000.0,North,8.0
35838,1992,9,YISHUN,MULTI-GENERATION,10 TO 12,164.0,MULTI GENERATION,1987,94,200000.0,North,11.0
36195,1992,10,BISHAN,MULTI-GENERATION,04 TO 06,165.0,MULTI GENERATION,1987,94,288000.0,Central,5.0
36196,1992,10,BISHAN,MULTI-GENERATION,07 TO 09,165.0,MULTI GENERATION,1987,94,298000.0,Central,8.0
37186,1992,10,YISHUN,MULTI-GENERATION,13 TO 15,163.0,MULTI GENERATION,1988,95,215000.0,North,14.0
37187,1992,10,YISHUN,MULTI-GENERATION,04 TO 06,164.0,MULTI GENERATION,1987,94,220500.0,North,5.0
37188,1992,10,YISHUN,MULTI-GENERATION,07 TO 09,171.0,MULTI GENERATION,1987,94,253000.0,North,8.0
