,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
3,3,1990-01-01,-0.5587265906386362,0.7184602031295791,1977,1.7961568913797856,6000.0,7300.0,7300.0,7300.0,7300.0,6666.666666666667,1154.7005383792516
4,4,1990-01-01,0.0610264913104613,0.7184602031295791,1975,1.5315408851148824,7300.0,7300.0,7300.0,7300.0,7300.0,7100.0,1014.889156509222
5,5,1990-01-01,0.0610264913104613,0.7184602031295791,1975,1.5315408851148824,9500.0,7300.0,7300.0,7300.0,7300.0,7600.0,1769.1806012954132
6,6,1990-01-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,9000.0,7300.0,7300.0,7300.0,7300.0,8600.0,1153.2562594670796
7,7,1990-01-01,0.6807795732595588,-1.2861891389359132,1969,0.7376928663201728,7300.0,7300.0,7300.0,7300.0,7300.0,8600.0,1153.2562594670796
8,8,1990-01-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7300.0,7300.0,7300.0,7300.0,7300.0,7866.666666666667,981.4954576223639
12,12,1990-02-01,-1.1784796725877336,-2.2885138099686597,1969,0.7376928663201728,7300.0,7400.0,7400.0,7400.0,7400.0,7533.333333333333,404.14518843273873
13,13,1990-02-01,-1.1784796725877336,-2.2885138099686597,1969,0.7376928663201728,7300.0,7400.0,7400.0,7400.0,7400.0,7300.0,0.0
14,14,1990-02-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7300.0,7400.0,7400.0,7400.0,7400.0,7300.0,0.0
15,15,1990-02-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7500.0,7400.0,7400.0,7400.0,7400.0,7366.666666666667,115.47005383792704
16,16,1990-02-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7300.0,7400.0,7400.0,7400.0,7400.0,7366.666666666667,115.47005383792704
17,17,1990-02-01,-1.1784796725877336,-2.2885138099686597,1969,0.7376928663201728,10000.0,7400.0,7400.0,7400.0,7400.0,8266.666666666666,1504.437879519568
18,18,1990-02-01,0.6807795732595588,-1.2861891389359132,1969,0.7376928663201728,7500.0,7400.0,7400.0,7400.0,7400.0,8266.666666666666,1504.437879519568
19,19,1990-02-01,-0.5587265906386362,-1.2861891389359132,1969,0.7376928663201728,7300.0,7400.0,7400.0,7400.0,7400.0,8266.666666666666,1504.437879519568
20,20,1990-02-01,-1.1784796725877336,0.7184602031295791,1975,1.5315408851148824,8000.0,7400.0,7400.0,7400.0,7400.0,7600.0,360.5551275463989
30,30,1990-05-01,0.6807795732595588,-1.2861891389359132,1969,0.7376928663201728,6000.0,8500.0,8500.0,8500.0,8500.0,8400.0,2116.601048851673
31,31,1990-05-01,-1.1784796725877336,-1.2861891389359132,1969,0.7376928663201728,10400.0,8500.0,8500.0,8500.0,8500.0,8533.333333333334,2274.496281230931
32,32,1990-05-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7300.0,8500.0,8500.0,8500.0,8500.0,7900.0,2260.5309110914627
36,36,1990-06-01,-1.1784796725877336,0.7184602031295791,1975,1.5315408851148824,7500.0,7300.0,7300.0,7300.0,7300.0,7366.666666666667,115.47005383791026
40,40,1990-07-01,-1.1784796725877336,0.7184602031295791,1975,1.5315408851148824,5000.0,7300.0,7300.0,7300.0,7300.0,7333.333333333333,2081.665999466132
41,41,1990-07-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7300.0,7300.0,7300.0,7300.0,7300.0,6766.666666666667,1569.5009822658055
42,42,1990-07-01,-0.5587265906386362,-1.2861891389359132,1969,0.7376928663201728,8000.0,7300.0,7300.0,7300.0,7300.0,6766.666666666667,1569.5009822658055
43,43,1990-07-01,-1.1784796725877336,-1.2861891389359132,1969,0.7376928663201728,10400.0,7300.0,7300.0,7300.0,7300.0,8566.666666666666,1625.8331197676268
44,44,1990-07-01,-0.5587265906386362,-1.2861891389359132,1969,0.7376928663201728,7000.0,7300.0,7300.0,7300.0,7300.0,8466.666666666666,1747.378989610821
45,45,1990-07-01,-0.5587265906386362,-1.2861891389359132,1969,0.7376928663201728,7300.0,7300.0,7300.0,7300.0,7300.0,8233.333333333334,1882.3743871327338
46,46,1990-07-01,0.6807795732595588,-1.2861891389359132,1969,0.7376928663201728,7300.0,7300.0,7300.0,7300.0,7300.0,7200.0,173.20508075689816
50,50,1990-08-01,0.6807795732595588,-1.2861891389359132,1969,0.7376928663201728,7300.0,8500.0,8500.0,8500.0,8500.0,8200.0,1153.2562594670794
51,51,1990-08-01,0.6807795732595588,0.7184602031295791,1975,1.5315408851148824,10000.0,8500.0,8500.0,8500.0,8500.0,8366.666666666666,1436.4307617610164
58,58,1990-10-01,0.6807795732595588,-1.2861891389359132,1969,0.7376928663201728,7300.0,7500.0,7500.0,7500.0,7500.0,8266.666666666666,1504.4378795195669
59,59,1990-10-01,0.0610264913104613,0.7184602031295791,1975,1.5315408851148824,10400.0,7500.0,7500.0,7500.0,7500.0,9233.333333333334,1686.2186493255645
63,63,1990-11-01,-1.1784796725877336,-1.2861891389359132,1969,0.7376928663201728,7700.0,7650.0,7650.0,7650.0,7650.0,7733.333333333333,251.66114784235845
64,64,1990-11-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7600.0,7650.0,7650.0,7650.0,7650.0,7600.0,100.00000000000004
65,65,1990-11-01,-0.5587265906386362,-1.2861891389359132,1969,0.7376928663201728,8000.0,7650.0,7650.0,7650.0,7650.0,7766.666666666667,208.16659994661316
66,66,1990-11-01,-0.5587265906386362,0.7184602031295791,1975,1.5315408851148824,7300.0,7650.0,7650.0,7650.0,7650.0,7633.333333333333,351.18845842842444
67,67,1990-11-01,0.0610264913104613,0.7184602031295791,1975,1.5315408851148824,8700.0,7650.0,7650.0,7650.0,7650.0,8000.0,699.9999999999999
71,71,1990-12-01,0.0610264913104613,0.7184602031295791,1977,1.7961568913797856,8000.0,7400.0,7400.0,7400.0,7400.0,7000.0,999.9999999999991
72,72,1990-12-01,0.0610264913104613,-1.2861891389359132,1969,0.7376928663201728,7300.0,7400.0,7400.0,7400.0,7400.0,7433.333333333333,513.1601439446865
73,73,1990-12-01,-1.1784796725877336,-2.2885138099686597,1969,0.7376928663201728,7500.0,7400.0,7400.0,7400.0,7400.0,7600.0,360.5551275463965
80,80,1991-02-01,0.0610264913104613,-1.2861891389359132,1969,0.6053848631877212,8000.0,8000.0,8000.0,8000.0,8000.0,7766.666666666667,404.1451884327334
81,81,1991-02-01,-0.5587265906386362,0.7184602031295791,1975,1.399232881982431,10000.0,8000.0,8000.0,8000.0,8000.0,8433.333333333334,1401.1899704655784
82,82,1991-02-01,0.0610264913104613,0.7184602031295791,1975,1.399232881982431,8800.0,8000.0,8000.0,8000.0,8000.0,8933.333333333334,1006.6445913694308
86,86,1991-03-01,0.6807795732595588,-1.2861891389359132,1969,0.6053848631877212,7300.0,7300.0,7300.0,7300.0,7300.0,8066.666666666667,1327.9056191361374
90,90,1991-04-01,-1.1784796725877336,0.7184602031295791,1975,1.399232881982431,7500.0,8000.0,8000.0,8000.0,8000.0,8633.333333333334,1550.2687938977963
91,91,1991-04-01,0.0610264913104613,0.7184602031295791,1975,1.399232881982431,10200.0,8000.0,8000.0,8000.0,8000.0,9366.666666666666,1619.6707484341773
98,98,1991-06-01,0.0610264913104613,0.7184602031295791,1975,1.399232881982431,8500.0,8250.0,8250.0,8250.0,8250.0,8333.333333333334,288.6751345948052
104,104,1991-08-01,-1.1784796725877336,-1.2861891389359132,1969,0.6053848631877212,7500.0,7250.0,7250.0,7250.0,7250.0,7900.0,2424.871130596428
110,110,1991-10-01,-0.5587265906386362,-1.2861891389359132,1969,0.6053848631877212,10400.0,10200.0,10200.0,10200.0,10200.0,10200.0,200.0000000000035
111,111,1991-10-01,0.6807795732595588,-1.2861891389359132,1969,0.6053848631877212,10400.0,10200.0,10200.0,10200.0,10200.0,10333.333333333334,115.47005383793108
115,115,1991-11-01,-1.1784796725877336,-1.2861891389359132,1969,0.6053848631877212,7300.0,8100.0,8100.0,8100.0,8100.0,7100.0,346.4101615137728
116,116,1991-11-01,0.0610264913104613,-1.2861891389359132,1969,0.6053848631877212,9500.0,8100.0,8100.0,8100.0,8100.0,8033.333333333333,1270.1705922171761
117,117,1991-11-01,0.0610264913104613,-1.2861891389359132,1969,0.6053848631877212,10220.0,8100.0,8100.0,8100.0,8100.0,9006.666666666666,1521.2275744717924
118,118,1991-11-01,-1.1784796725877336,-1.2861891389359132,1969,0.6053848631877212,8900.0,8100.0,8100.0,8100.0,8100.0,9540.0,660.9084656743322
119,119,1991-11-01,0.0610264913104613,-1.2861891389359132,1969,0.6053848631877212,9500.0,8100.0,8100.0,8100.0,8100.0,9540.0,660.9084656743322
123,123,1991-12-01,-1.1784796725877336,-1.2861891389359132,1969,0.6053848631877212,10400.0,8000.0,8000.0,8000.0,8000.0,8466.666666666666,1747.3789896108212
