year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1990,01,ANG MO KIO,1 ROOM,10 TO 12,31.0,IMPROVED,1977,86,9000.0
1990,01,ANG MO KIO,1 ROOM,04 TO 06,31.0,IMPROVED,1977,86,6000.0
1990,01,ANG MO KIO,1 ROOM,10 TO 12,31.0,IMPROVED,1977,86,8000.0
1990,01,ANG MO KIO,1 ROOM,07 TO 09,31.0,IMPROVED,1977,86,6000.0
1990,01,ANG MO KIO,3 ROOM,04 TO 06,73.0,NEW GENERATION,1976,85,47200.0
1990,01,ANG MO KIO,3 ROOM,01 TO 03,67.0,NEW GENERATION,1977,86,46000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,67.0,NEW GENERATION,1977,86,42000.0
1990,01,ANG MO KIO,3 ROOM,10 TO 12,67.0,NEW GENERATION,1977,86,38000.0
1990,01,ANG MO KIO,3 ROOM,04 TO 06,67.0,NEW GENERATION,1977,86,40000.0
1990,01,ANG MO KIO,3 ROOM,01 TO 03,67.0,NEW GENERATION,1977,86,47000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,67.0,NEW GENERATION,1977,86,43000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,82.0,NEW GENERATION,1976,85,59000.0
1990,01,ANG MO KIO,3 ROOM,10 TO 12,67.0,NEW GENERATION,1976,85,47200.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,67.0,NEW GENERATION,1977,86,35000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,82.0,NEW GENERATION,1977,86,52000.0
1990,01,ANG MO KIO,3 ROOM,04 TO 06,82.0,NEW GENERATION,1978,87,56900.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,73.0,NEW GENERATION,1977,86,40000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,67.0,NEW GENERATION,1977,86,40000.0
1990,01,ANG MO KIO,3 ROOM,04 TO 06,67.0,NEW GENERATION,1978,87,47200.0
1990,01,ANG MO KIO,3 ROOM,10 TO 12,67.0,NEW GENERATION,1978,87,37000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,82.0,NEW GENERATION,1978,87,60000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,73.0,NEW GENERATION,1978,87,40000.0
1990,01,ANG MO KIO,3 ROOM,10 TO 12,73.0,NEW GENERATION,1978,87,41000.0
1990,01,ANG MO KIO,3 ROOM,04 TO 06,74.0,NEW GENERATION,1978,87,37000.0
1990,01,ANG MO KIO,3 ROOM,10 TO 12,67.0,NEW GENERATION,1978,87,34000.0
1990,01,ANG MO KIO,3 ROOM,07 TO 09,73.0,NEW GENERATION,1978,87,47000.0
1990,01,ANG MO KIO,3 ROOM,04 TO 06,73.0,NEW GENERATION,1978,87,36000.0
1990,01,ANG MO KIO,3 ROOM,10 TO 12,73.0,NEW GENERATION,1978,87,45000.0
