Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
335,1990,1,BISHAN,3 ROOM,10 TO 12,68.0,IMPROVED,1973,82,40000.0,Central,11.0
336,1990,1,BISHAN,3 ROOM,10 TO 12,67.0,IMPROVED,1973,82,39000.0,Central,11.0
337,1990,1,BISHAN,3 ROOM,04 TO 06,65.0,IMPROVED,1973,82,40000.0,Central,5.0
338,1990,1,BISHAN,3 ROOM,04 TO 06,67.0,NEW GENERATION,1984,93,52900.0,Central,5.0
339,1990,1,BISHAN,3 ROOM,07 TO 09,67.0,NEW GENERATION,1985,94,59800.0,Central,8.0
340,1990,1,BISHAN,3 ROOM,04 TO 06,67.0,NEW GENERATION,1984,93,58000.0,Central,5.0
341,1990,1,BISHAN,4 ROOM,01 TO 03,99.0,NEW GENERATION,1985,94,97500.0,Central,2.0
342,1990,1,BISHAN,5 ROOM,07 TO 09,121.0,IMPROVED,1984,93,145000.0,Central,8.0
1725,1990,2,BISHAN,3 ROOM,07 TO 09,65.0,IMPROVED,1973,82,40000.0,Central,8.0
1726,1990,2,BISHAN,3 ROOM,04 TO 06,67.0,NEW GENERATION,1985,94,59000.0,Central,5.0
1727,1990,2,BISHAN,3 ROOM,07 TO 09,67.0,NEW GENERATION,1985,94,44000.0,Central,8.0
1728,1990,2,BISHAN,3 ROOM,04 TO 06,67.0,NEW GENERATION,1984,93,59800.0,Central,5.0
1729,1990,2,BISHAN,5 ROOM,07 TO 09,121.0,IMPROVED,1984,93,180000.0,Central,8.0
1730,1990,2,BISHAN,5 ROOM,10 TO 12,121.0,IMPROVED,1985,94,139000.0,Central,11.0
2682,1990,3,BISHAN,3 ROOM,01 TO 03,68.0,IMPROVED,1973,82,34000.0,Central,2.0
2683,1990,3,BISHAN,3 ROOM,10 TO 12,65.0,IMPROVED,1973,82,37000.0,Central,11.0
2684,1990,3,BISHAN,3 ROOM,10 TO 12,65.0,IMPROVED,1973,82,39000.0,Central,11.0
2685,1990,3,BISHAN,3 ROOM,07 TO 09,65.0,IMPROVED,1973,82,37000.0,Central,8.0
2686,1990,3,BISHAN,3 ROOM,01 TO 03,67.0,NEW GENERATION,1985,94,65000.0,Central,2.0
2687,1990,3,BISHAN,3 ROOM,07 TO 09,67.0,NEW GENERATION,1985,94,59600.0,Central,8.0
2688,1990,3,BISHAN,4 ROOM,04 TO 06,99.0,NEW GENERATION,1984,93,91000.0,Central,5.0
