Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
14075,1991,2,BUKIT PANJANG,EXECUTIVE,10 TO 12,151.0,APARTMENT,1987,95,195000.0,West,11.0
17577,1991,6,BUKIT PANJANG,4 ROOM,10 TO 12,84.0,SIMPLIFIED,1987,95,81000.0,West,11.0
18592,1991,7,BUKIT PANJANG,4 ROOM,01 TO 03,103.0,MODEL A,1988,96,80000.0,West,2.0
20984,1991,9,BUKIT PANJANG,3 ROOM,01 TO 03,73.0,MODEL A,1988,96,60000.0,West,2.0
20985,1991,9,BUKIT PANJANG,4 ROOM,07 TO 09,103.0,MODEL A,1988,96,92000.0,West,8.0
20986,1991,9,BUKIT PANJANG,4 ROOM,07 TO 09,84.0,SIMPLIFIED,1987,95,68000.0,West,8.0
22197,1991,10,BUKIT PANJANG,4 ROOM,04 TO 06,103.0,MODEL A,1988,96,93000.0,West,5.0
23436,1991,11,BUKIT PANJANG,3 ROOM,07 TO 09,73.0,MODEL A,1988,96,55000.0,West,8.0
23437,1991,11,BUKIT PANJANG,4 ROOM,10 TO 12,103.0,MODEL A,1987,95,80000.0,West,11.0
23438,1991,11,BUKIT PANJANG,5 ROOM,04 TO 06,121.0,IMPROVED,1987,95,149000.0,West,5.0
24695,1991,12,BUKIT PANJANG,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1987,95,115000.0,West,8.0
25793,1992,1,BUKIT PANJANG,3 ROOM,10 TO 12,73.0,MODEL A,1988,95,59800.0,West,11.0
25794,1992,1,BUKIT PANJANG,3 ROOM,04 TO 06,73.0,MODEL A,1988,95,59000.0,West,5.0
25795,1992,1,BUKIT PANJANG,3 ROOM,04 TO 06,73.0,MODEL A,1988,95,48000.0,West,5.0
25796,1992,1,BUKIT PANJANG,3 ROOM,04 TO 06,73.0,MODEL A,1988,95,45000.0,West,5.0
25797,1992,1,BUKIT PANJANG,3 ROOM,07 TO 09,73.0,MODEL A,1988,95,48000.0,West,8.0
25798,1992,1,BUKIT PANJANG,3 ROOM,04 TO 06,73.0,MODEL A,1988,95,61840.0,West,5.0
25799,1992,1,BUKIT PANJANG,EXECUTIVE,07 TO 09,151.0,APARTMENT,1987,94,190000.0,West,8.0
26900,1992,2,BUKIT PANJANG,3 ROOM,07 TO 09,73.0,MODEL A,1987,94,60000.0,West,8.0
26901,1992,2,BUKIT PANJANG,3 ROOM,10 TO 12,73.0,MODEL A,1988,95,60000.0,West,11.0
26902,1992,2,BUKIT PANJANG,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1987,94,212000.0,West,11.0
27919,1992,3,BUKIT PANJANG,3 ROOM,10 TO 12,73.0,MODEL A,1988,95,60000.0,West,11.0
27920,1992,3,BUKIT PANJANG,3 ROOM,07 TO 09,73.0,MODEL A,1988,95,59000.0,West,8.0
27921,1992,3,BUKIT PANJANG,4 ROOM,07 TO 09,103.0,MODEL A,1986,93,87000.0,West,8.0
27922,1992,3,BUKIT PANJANG,4 ROOM,07 TO 09,84.0,SIMPLIFIED,1988,95,70000.0,West,8.0
28991,1992,4,BUKIT PANJANG,3 ROOM,04 TO 06,73.0,MODEL A,1988,95,60000.0,West,5.0
28992,1992,4,BUKIT PANJANG,4 ROOM,01 TO 03,103.0,MODEL A,1988,95,92000.0,West,2.0
28993,1992,4,BUKIT PANJANG,4 ROOM,01 TO 03,107.0,MODEL A,1988,95,92000.0,West,2.0
28994,1992,4,BUKIT PANJANG,4 ROOM,01 TO 03,103.0,MODEL A,1988,95,80000.0,West,2.0
28995,1992,4,BUKIT PANJANG,4 ROOM,04 TO 06,104.0,MODEL A,1988,95,93000.0,West,5.0
28996,1992,4,BUKIT PANJANG,4 ROOM,04 TO 06,103.0,MODEL A,1988,95,74000.0,West,5.0
28997,1992,4,BUKIT PANJANG,EXECUTIVE,04 TO 06,144.0,APARTMENT,1987,94,185000.0,West,5.0
28998,1992,4,BUKIT PANJANG,EXECUTIVE,01 TO 03,146.0,MAISONETTE,1989,96,215000.0,West,2.0
30103,1992,5,BUKIT PANJANG,3 ROOM,01 TO 03,73.0,MODEL A,1988,95,50000.0,West,2.0
30104,1992,5,BUKIT PANJANG,3 ROOM,04 TO 06,73.0,MODEL A,1988,95,60000.0,West,5.0
30105,1992,5,BUKIT PANJANG,3 ROOM,04 TO 06,64.0,SIMPLIFIED,1987,94,41000.0,West,5.0
30106,1992,5,BUKIT PANJANG,4 ROOM,10 TO 12,104.0,MODEL A,1989,96,80000.0,West,11.0
30107,1992,5,BUKIT PANJANG,5 ROOM,10 TO 12,132.0,IMPROVED,1987,94,145000.0,West,11.0
30108,1992,5,BUKIT PANJANG,EXECUTIVE,04 TO 06,151.0,APARTMENT,1987,94,200000.0,West,5.0
30109,1992,5,BUKIT PANJANG,EXECUTIVE,04 TO 06,144.0,APARTMENT,1987,94,190000.0,West,5.0
30110,1992,5,BUKIT PANJANG,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1987,94,210000.0,West,11.0
31217,1992,6,BUKIT PANJANG,4 ROOM,01 TO 03,103.0,MODEL A,1988,95,92000.0,West,2.0
31218,1992,6,BUKIT PANJANG,4 ROOM,04 TO 06,103.0,MODEL A,1989,96,93000.0,West,5.0
31219,1992,6,BUKIT PANJANG,EXECUTIVE,10 TO 12,144.0,APARTMENT,1987,94,230000.0,West,11.0
32380,1992,7,BUKIT PANJANG,3 ROOM,07 TO 09,73.0,MODEL A,1988,95,50000.0,West,8.0
