Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
505,1990,1,BUKIT TIMAH,3 ROOM,10 TO 12,65.0,IMPROVED,1976,85,40000.0,Central,11.0
506,1990,1,BUKIT TIMAH,3 ROOM,10 TO 12,63.0,IMPROVED,1974,83,40200.0,Central,11.0
507,1990,1,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,83,85000.0,Central,5.0
508,1990,1,BUKIT TIMAH,4 ROOM,01 TO 03,91.0,IMPROVED,1974,83,60000.0,Central,2.0
1834,1990,2,BUKIT TIMAH,3 ROOM,07 TO 09,76.0,IMPROVED,1974,83,40000.0,Central,8.0
2814,1990,3,BUKIT TIMAH,5 ROOM,07 TO 09,123.0,STANDARD,1974,83,150000.0,Central,8.0
3940,1990,4,BUKIT TIMAH,5 ROOM,13 TO 15,125.0,STANDARD,1974,83,130000.0,Central,14.0
3941,1990,4,BUKIT TIMAH,5 ROOM,07 TO 09,123.0,STANDARD,1974,83,150000.0,Central,8.0
4903,1990,5,BUKIT TIMAH,3 ROOM,10 TO 12,64.9,IMPROVED,1976,85,40000.0,Central,11.0
4904,1990,5,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,85,35000.0,Central,5.0
5693,1990,6,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,85,40000.0,Central,5.0
5694,1990,6,BUKIT TIMAH,3 ROOM,04 TO 06,73.0,IMPROVED,1974,83,47000.0,Central,5.0
5695,1990,6,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,83,84000.0,Central,5.0
6725,1990,7,BUKIT TIMAH,3 ROOM,01 TO 03,65.0,IMPROVED,1976,85,37500.0,Central,2.0
6726,1990,7,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,85,40000.0,Central,5.0
6727,1990,7,BUKIT TIMAH,3 ROOM,13 TO 15,65.0,IMPROVED,1976,85,40000.0,Central,14.0
6728,1990,7,BUKIT TIMAH,3 ROOM,07 TO 09,73.0,IMPROVED,1974,83,41000.0,Central,8.0
6729,1990,7,BUKIT TIMAH,3 ROOM,10 TO 12,76.0,IMPROVED,1974,83,46000.0,Central,11.0
6730,1990,7,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,83,80000.0,Central,8.0
6731,1990,7,BUKIT TIMAH,4 ROOM,04 TO 06,89.0,IMPROVED,1974,83,88000.0,Central,5.0
6732,1990,7,BUKIT TIMAH,5 ROOM,07 TO 09,123.0,STANDARD,1974,83,159700.0,Central,8.0
6733,1990,7,BUKIT TIMAH,5 ROOM,22 TO 24,120.0,STANDARD,1974,83,160200.0,Central,23.0
8011,1990,8,BUKIT TIMAH,3 ROOM,10 TO 12,65.0,IMPROVED,1976,85,40000.0,Central,11.0
9016,1990,9,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,85,36000.0,Central,8.0
9017,1990,9,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,83,85700.0,Central,8.0
9018,1990,9,BUKIT TIMAH,5 ROOM,07 TO 09,120.0,STANDARD,1974,83,180000.0,Central,8.0
11891,1990,12,BUKIT TIMAH,3 ROOM,01 TO 03,65.0,IMPROVED,1976,85,38000.0,Central,2.0
11892,1990,12,BUKIT TIMAH,5 ROOM,01 TO 03,125.0,STANDARD,1974,83,120000.0,Central,2.0
13004,1991,1,BUKIT TIMAH,3 ROOM,10 TO 12,73.0,IMPROVED,1974,82,52000.0,Central,11.0
14076,1991,2,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,84,38000.0,Central,8.0
14883,1991,3,BUKIT TIMAH,5 ROOM,10 TO 12,125.0,STANDARD,1974,82,135000.0,Central,11.0
15752,1991,4,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,84,40040.0,Central,8.0
15753,1991,4,BUKIT TIMAH,3 ROOM,10 TO 12,74.0,IMPROVED,1974,82,54000.0,Central,11.0
16702,1991,5,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,82,54000.0,Central,8.0
19797,1991,8,BUKIT TIMAH,3 ROOM,10 TO 12,63.0,IMPROVED,1974,82,38000.0,Central,11.0
19798,1991,8,BUKIT TIMAH,3 ROOM,07 TO 09,73.0,IMPROVED,1974,82,55000.0,Central,8.0
19799,1991,8,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,82,97000.0,Central,5.0
19800,1991,8,BUKIT TIMAH,5 ROOM,01 TO 03,123.0,STANDARD,1974,82,143000.0,Central,2.0
19801,1991,8,BUKIT TIMAH,5 ROOM,04 TO 06,123.0,STANDARD,1974,82,195000.0,Central,5.0
20987,1991,9,BUKIT TIMAH,4 ROOM,10 TO 12,89.0,IMPROVED,1974,82,104000.0,Central,11.0
22198,1991,10,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,82,100000.0,Central,8.0
23439,1991,11,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,84,40000.0,Central,5.0
23440,1991,11,BUKIT TIMAH,4 ROOM,01 TO 03,89.0,IMPROVED,1974,82,88000.0,Central,2.0
24696,1991,12,BUKIT TIMAH,5 ROOM,04 TO 06,125.0,STANDARD,1974,82,176000.0,Central,5.0
25800,1992,1,BUKIT TIMAH,3 ROOM,10 TO 12,65.0,IMPROVED,1976,83,40000.0,Central,11.0
25801,1992,1,BUKIT TIMAH,3 ROOM,10 TO 12,63.0,IMPROVED,1974,81,57000.0,Central,11.0
25802,1992,1,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,81,90000.0,Central,5.0
26903,1992,2,BUKIT TIMAH,4 ROOM,01 TO 03,89.0,IMPROVED,1974,81,109000.0,Central,2.0
27923,1992,3,BUKIT TIMAH,3 ROOM,07 TO 09,63.0,IMPROVED,1974,81,47000.0,Central,8.0
30111,1992,5,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,83,55000.0,Central,5.0
30112,1992,5,BUKIT TIMAH,3 ROOM,07 TO 09,76.0,IMPROVED,1974,81,74000.0,Central,8.0
30113,1992,5,BUKIT TIMAH,5 ROOM,07 TO 09,123.0,STANDARD,1974,81,180000.0,Central,8.0
32387,1992,7,BUKIT TIMAH,3 ROOM,04 TO 06,73.0,IMPROVED,1974,81,71500.0,Central,5.0
32388,1992,7,BUKIT TIMAH,3 ROOM,10 TO 12,73.0,IMPROVED,1974,81,60000.0,Central,11.0
33639,1992,8,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,83,73000.0,Central,5.0
34927,1992,9,BUKIT TIMAH,5 ROOM,07 TO 09,123.0,STANDARD,1974,81,200000.0,Central,8.0
34928,1992,9,BUKIT TIMAH,5 ROOM,04 TO 06,123.0,STANDARD,1974,81,183000.0,Central,5.0
36344,1992,10,BUKIT TIMAH,3 ROOM,04 TO 06,65.0,IMPROVED,1976,83,50000.0,Central,5.0
36345,1992,10,BUKIT TIMAH,3 ROOM,04 TO 06,74.0,IMPROVED,1974,81,46000.0,Central,5.0
36346,1992,10,BUKIT TIMAH,3 ROOM,07 TO 09,76.0,IMPROVED,1974,81,110000.0,Central,8.0
36347,1992,10,BUKIT TIMAH,EXECUTIVE,04 TO 06,142.0,APARTMENT,1989,96,300000.0,Central,5.0
37645,1992,11,BUKIT TIMAH,3 ROOM,07 TO 09,74.0,IMPROVED,1974,81,46000.0,Central,8.0
39021,1992,12,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,83,67000.0,Central,8.0
39022,1992,12,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,81,107000.0,Central,5.0
40238,1993,1,BUKIT TIMAH,3 ROOM,07 TO 09,73.0,IMPROVED,1974,80,69500.0,Central,8.0
40239,1993,1,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,80,80000.0,Central,5.0
40240,1993,1,BUKIT TIMAH,5 ROOM,10 TO 12,123.0,STANDARD,1974,80,158000.0,Central,11.0
41403,1993,2,BUKIT TIMAH,3 ROOM,07 TO 09,73.0,IMPROVED,1974,80,35000.0,Central,8.0
41404,1993,2,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,80,65660.0,Central,8.0
41405,1993,2,BUKIT TIMAH,5 ROOM,13 TO 15,125.0,STANDARD,1974,80,140000.0,Central,14.0
42529,1993,3,BUKIT TIMAH,4 ROOM,10 TO 12,91.0,IMPROVED,1974,80,46900.0,Central,11.0
42530,1993,3,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,80,100000.0,Central,5.0
43579,1993,4,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,82,45000.0,Central,8.0
43580,1993,4,BUKIT TIMAH,4 ROOM,10 TO 12,89.0,IMPROVED,1974,80,110000.0,Central,11.0
43581,1993,4,BUKIT TIMAH,5 ROOM,16 TO 18,123.0,STANDARD,1974,80,210000.0,Central,17.0
44672,1993,5,BUKIT TIMAH,4 ROOM,04 TO 06,104.0,MODEL A,1988,94,120000.0,Central,5.0
44673,1993,5,BUKIT TIMAH,4 ROOM,07 TO 09,104.0,MODEL A,1988,94,196000.0,Central,8.0
44674,1993,5,BUKIT TIMAH,4 ROOM,07 TO 09,104.0,MODEL A,1988,94,180000.0,Central,8.0
44675,1993,5,BUKIT TIMAH,5 ROOM,10 TO 12,122.0,IMPROVED,1988,94,248000.0,Central,11.0
44676,1993,5,BUKIT TIMAH,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,307000.0,Central,11.0
45887,1993,6,BUKIT TIMAH,3 ROOM,10 TO 12,65.0,IMPROVED,1976,82,78000.0,Central,11.0
45888,1993,6,BUKIT TIMAH,3 ROOM,07 TO 09,73.0,IMPROVED,1974,80,41000.0,Central,8.0
45889,1993,6,BUKIT TIMAH,4 ROOM,01 TO 03,104.0,MODEL A,1988,94,180000.0,Central,2.0
45890,1993,6,BUKIT TIMAH,4 ROOM,10 TO 12,104.0,MODEL A,1988,94,170000.0,Central,11.0
45891,1993,6,BUKIT TIMAH,5 ROOM,04 TO 06,122.0,IMPROVED,1988,94,220000.0,Central,5.0
45892,1993,6,BUKIT TIMAH,EXECUTIVE,01 TO 03,146.0,MAISONETTE,1988,94,305000.0,Central,2.0
47177,1993,7,BUKIT TIMAH,3 ROOM,04 TO 06,74.0,IMPROVED,1974,80,80000.0,Central,5.0
47178,1993,7,BUKIT TIMAH,3 ROOM,07 TO 09,76.0,IMPROVED,1974,80,103000.0,Central,8.0
47179,1993,7,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,80,90000.0,Central,5.0
47180,1993,7,BUKIT TIMAH,4 ROOM,01 TO 03,104.0,MODEL A,1988,94,190000.0,Central,2.0
47181,1993,7,BUKIT TIMAH,5 ROOM,10 TO 12,128.0,IMPROVED,1988,94,310000.0,Central,11.0
47182,1993,7,BUKIT TIMAH,5 ROOM,01 TO 03,128.0,IMPROVED,1988,94,265000.0,Central,2.0
47183,1993,7,BUKIT TIMAH,5 ROOM,04 TO 06,125.0,STANDARD,1974,80,272000.0,Central,5.0
47184,1993,7,BUKIT TIMAH,5 ROOM,04 TO 06,125.0,STANDARD,1974,80,250000.0,Central,5.0
47185,1993,7,BUKIT TIMAH,EXECUTIVE,07 TO 09,150.0,MAISONETTE,1988,94,350000.0,Central,8.0
48600,1993,8,BUKIT TIMAH,3 ROOM,04 TO 06,73.0,IMPROVED,1974,80,85000.0,Central,5.0
48601,1993,8,BUKIT TIMAH,3 ROOM,07 TO 09,76.0,IMPROVED,1974,80,75000.0,Central,8.0
48602,1993,8,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,80,126000.0,Central,5.0
48603,1993,8,BUKIT TIMAH,4 ROOM,07 TO 09,89.0,IMPROVED,1974,80,185000.0,Central,8.0
48604,1993,8,BUKIT TIMAH,4 ROOM,04 TO 06,89.0,IMPROVED,1974,80,150000.0,Central,5.0
48605,1993,8,BUKIT TIMAH,4 ROOM,07 TO 09,104.0,MODEL A,1988,94,180000.0,Central,8.0
48606,1993,8,BUKIT TIMAH,5 ROOM,10 TO 12,122.0,IMPROVED,1988,94,295000.0,Central,11.0
48607,1993,8,BUKIT TIMAH,5 ROOM,04 TO 06,122.0,IMPROVED,1988,94,240000.0,Central,5.0
48608,1993,8,BUKIT TIMAH,EXECUTIVE,01 TO 03,146.0,MAISONETTE,1988,94,360000.0,Central,2.0
50188,1993,9,BUKIT TIMAH,3 ROOM,01 TO 03,65.0,IMPROVED,1976,82,89000.0,Central,2.0
50189,1993,9,BUKIT TIMAH,3 ROOM,07 TO 09,63.0,IMPROVED,1974,80,70000.0,Central,8.0
50190,1993,9,BUKIT TIMAH,3 ROOM,01 TO 03,64.0,SIMPLIFIED,1989,95,123000.0,Central,2.0
50191,1993,9,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,80,153000.0,Central,5.0
50192,1993,9,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,80,172000.0,Central,8.0
50193,1993,9,BUKIT TIMAH,4 ROOM,01 TO 03,104.0,MODEL A,1988,94,208500.0,Central,2.0
50194,1993,9,BUKIT TIMAH,4 ROOM,01 TO 03,104.0,MODEL A,1988,94,105000.0,Central,2.0
50195,1993,9,BUKIT TIMAH,4 ROOM,04 TO 06,104.0,MODEL A,1988,94,190000.0,Central,5.0
50196,1993,9,BUKIT TIMAH,4 ROOM,10 TO 12,104.0,MODEL A,1988,94,160000.0,Central,11.0
50197,1993,9,BUKIT TIMAH,5 ROOM,07 TO 09,122.0,IMPROVED,1988,94,275000.0,Central,8.0
50198,1993,9,BUKIT TIMAH,5 ROOM,01 TO 03,122.0,IMPROVED,1988,94,280000.0,Central,2.0
50199,1993,9,BUKIT TIMAH,5 ROOM,04 TO 06,123.0,STANDARD,1974,80,226000.0,Central,5.0
50200,1993,9,BUKIT TIMAH,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,360000.0,Central,5.0
50201,1993,9,BUKIT TIMAH,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,360000.0,Central,11.0
50202,1993,9,BUKIT TIMAH,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,351800.0,Central,11.0
50203,1993,9,BUKIT TIMAH,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,380000.0,Central,5.0
50204,1993,9,BUKIT TIMAH,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,420000.0,Central,8.0
51953,1993,10,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,82,93000.0,Central,8.0
51954,1993,10,BUKIT TIMAH,4 ROOM,01 TO 03,89.0,IMPROVED,1974,80,165000.0,Central,2.0
51955,1993,10,BUKIT TIMAH,4 ROOM,04 TO 06,104.0,MODEL A,1988,94,210000.0,Central,5.0
51956,1993,10,BUKIT TIMAH,4 ROOM,10 TO 12,104.0,MODEL A,1988,94,252450.0,Central,11.0
51957,1993,10,BUKIT TIMAH,4 ROOM,10 TO 12,104.0,MODEL A,1988,94,208000.0,Central,11.0
51958,1993,10,BUKIT TIMAH,5 ROOM,04 TO 06,122.0,IMPROVED,1988,94,310000.0,Central,5.0
51959,1993,10,BUKIT TIMAH,5 ROOM,16 TO 18,123.0,STANDARD,1974,80,270000.0,Central,17.0
51960,1993,10,BUKIT TIMAH,EXECUTIVE,01 TO 03,150.0,MAISONETTE,1988,94,350000.0,Central,2.0
51961,1993,10,BUKIT TIMAH,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,425000.0,Central,8.0
51962,1993,10,BUKIT TIMAH,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,333000.0,Central,11.0
53975,1993,11,BUKIT TIMAH,4 ROOM,07 TO 09,89.0,IMPROVED,1974,80,188000.0,Central,8.0
53976,1993,11,BUKIT TIMAH,EXECUTIVE,07 TO 09,150.0,MAISONETTE,1988,94,439888.0,Central,8.0
56482,1993,12,BUKIT TIMAH,3 ROOM,10 TO 12,65.0,IMPROVED,1976,82,110000.0,Central,11.0
56483,1993,12,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,82,86000.0,Central,8.0
56484,1993,12,BUKIT TIMAH,3 ROOM,07 TO 09,63.0,IMPROVED,1974,80,80000.0,Central,8.0
56485,1993,12,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,80,185000.0,Central,5.0
56486,1993,12,BUKIT TIMAH,4 ROOM,04 TO 06,89.0,IMPROVED,1974,80,165000.0,Central,5.0
56487,1993,12,BUKIT TIMAH,5 ROOM,07 TO 09,122.0,IMPROVED,1988,94,295000.0,Central,8.0
58910,1994,1,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,81,98000.0,Central,8.0
58911,1994,1,BUKIT TIMAH,3 ROOM,10 TO 12,65.0,IMPROVED,1976,81,100000.0,Central,11.0
58912,1994,1,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,79,185000.0,Central,8.0
58913,1994,1,BUKIT TIMAH,4 ROOM,04 TO 06,104.0,MODEL A,1988,93,238000.0,Central,5.0
58914,1994,1,BUKIT TIMAH,5 ROOM,10 TO 12,122.0,IMPROVED,1988,93,315000.0,Central,11.0
58915,1994,1,BUKIT TIMAH,5 ROOM,07 TO 09,128.0,IMPROVED,1988,93,300000.0,Central,8.0
58916,1994,1,BUKIT TIMAH,5 ROOM,04 TO 06,127.0,IMPROVED,1988,93,315000.0,Central,5.0
58917,1994,1,BUKIT TIMAH,5 ROOM,13 TO 15,123.0,STANDARD,1974,79,290000.0,Central,14.0
58918,1994,1,BUKIT TIMAH,EXECUTIVE,01 TO 03,154.0,MAISONETTE,1988,93,365000.0,Central,2.0
58919,1994,1,BUKIT TIMAH,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,93,355000.0,Central,5.0
58920,1994,1,BUKIT TIMAH,EXECUTIVE,04 TO 06,154.0,MAISONETTE,1988,93,416000.0,Central,5.0
61515,1994,2,BUKIT TIMAH,3 ROOM,07 TO 09,65.0,IMPROVED,1976,81,95000.0,Central,8.0
61516,1994,2,BUKIT TIMAH,4 ROOM,10 TO 12,91.0,IMPROVED,1974,79,200000.0,Central,11.0
61517,1994,2,BUKIT TIMAH,4 ROOM,07 TO 09,91.0,IMPROVED,1974,79,195000.0,Central,8.0
61518,1994,2,BUKIT TIMAH,4 ROOM,04 TO 06,91.0,IMPROVED,1974,79,175000.0,Central,5.0
