year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1990,01,CENTRAL AREA,2 ROOM,10 TO 12,53.0,IMPROVED,1971,80,30000.0
1990,01,CENTRAL AREA,2 ROOM,04 TO 06,43.0,STANDARD,1983,92,28000.0
1990,01,CENTRAL AREA,2 ROOM,04 TO 06,38.0,STANDARD,1974,83,22000.0
1990,01,CENTRAL AREA,2 ROOM,04 TO 06,38.0,STANDARD,1974,83,23200.0
1990,01,CENTRAL AREA,2 ROOM,01 TO 03,41.0,STANDARD,1974,83,18700.0
1990,01,CENTRAL AREA,3 ROOM,16 TO 18,60.0,IMPROVED,1978,87,60000.0
1990,01,CENTRAL AREA,3 ROOM,07 TO 09,68.0,IMPROVED,1986,95,67500.0
1990,01,CENTRAL AREA,3 ROOM,19 TO 21,60.0,IMPROVED,1979,88,69000.0
1990,01,CENTRAL AREA,3 ROOM,01 TO 03,60.0,IMPROVED,1982,91,67000.0
1990,01,CENTRAL AREA,3 ROOM,19 TO 21,65.0,IMPROVED,1975,84,70000.0
1990,01,CENTRAL AREA,3 ROOM,07 TO 09,74.0,MODEL A,1984,93,102000.0
1990,01,CENTRAL AREA,3 ROOM,04 TO 06,67.0,NEW GENERATION,1977,86,74500.0
1990,01,CENTRAL AREA,3 ROOM,07 TO 09,58.0,STANDARD,1974,83,32000.0
1990,01,CENTRAL AREA,3 ROOM,10 TO 12,58.0,STANDARD,1974,83,35000.0
1990,01,CENTRAL AREA,4 ROOM,22 TO 24,82.0,IMPROVED,1980,89,100000.0
1990,01,CENTRAL AREA,4 ROOM,16 TO 18,82.0,IMPROVED,1982,91,80000.0
1990,01,CENTRAL AREA,4 ROOM,13 TO 15,85.0,IMPROVED,1982,91,88000.0
1990,01,CENTRAL AREA,4 ROOM,07 TO 09,82.0,IMPROVED,1984,93,100000.0
1990,01,CENTRAL AREA,4 ROOM,19 TO 21,111.0,MODEL A,1983,92,155000.0
1990,01,CENTRAL AREA,4 ROOM,16 TO 18,101.0,MODEL A,1985,94,157000.0
1990,01,CENTRAL AREA,4 ROOM,04 TO 06,112.0,MODEL A,1985,94,130000.0
1990,01,CENTRAL AREA,5 ROOM,25 TO 27,137.0,MODEL A,1984,93,228000.0
1990,02,CENTRAL AREA,2 ROOM,07 TO 09,52.0,STANDARD,1983,92,41500.0
1990,02,CENTRAL AREA,3 ROOM,04 TO 06,70.0,IMPROVED,1977,86,62000.0
1990,02,CENTRAL AREA,3 ROOM,16 TO 18,68.0,IMPROVED,1981,90,65000.0
1990,02,CENTRAL AREA,3 ROOM,10 TO 12,68.0,IMPROVED,1980,89,64000.0
1990,02,CENTRAL AREA,3 ROOM,13 TO 15,65.0,IMPROVED,1981,90,57000.0
1990,02,CENTRAL AREA,3 ROOM,04 TO 06,74.0,MODEL A,1984,93,77000.0
1990,02,CENTRAL AREA,4 ROOM,16 TO 18,83.0,IMPROVED,1980,89,110000.0
1990,02,CENTRAL AREA,4 ROOM,07 TO 09,111.0,MODEL A,1983,92,150000.0
1990,02,CENTRAL AREA,4 ROOM,07 TO 09,113.0,MODEL A,1984,93,150000.0
1990,02,CENTRAL AREA,4 ROOM,16 TO 18,109.0,MODEL A,1985,94,157600.0
1990,03,CENTRAL AREA,2 ROOM,04 TO 06,38.0,STANDARD,1974,83,19000.0
1990,03,CENTRAL AREA,2 ROOM,01 TO 03,40.0,STANDARD,1974,83,18700.0
1990,03,CENTRAL AREA,2 ROOM,04 TO 06,39.0,STANDARD,1974,83,22500.0
1990,03,CENTRAL AREA,2 ROOM,04 TO 06,39.0,STANDARD,1974,83,20000.0
1990,03,CENTRAL AREA,2 ROOM,07 TO 09,39.0,STANDARD,1974,83,18500.0
1990,03,CENTRAL AREA,3 ROOM,22 TO 24,70.0,IMPROVED,1977,86,68000.0
1990,03,CENTRAL AREA,3 ROOM,22 TO 24,59.0,IMPROVED,1977,86,53000.0
1990,03,CENTRAL AREA,3 ROOM,10 TO 12,65.0,IMPROVED,1977,86,50000.0
1990,03,CENTRAL AREA,3 ROOM,16 TO 18,60.0,IMPROVED,1986,95,62000.0
