Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
531,1990,1,CHOA CHU KANG,3 ROOM,10 TO 12,74.0,MODEL A,1984,93,57300.0,West,11.0
532,1990,1,CHOA CHU KANG,3 ROOM,10 TO 12,74.0,MODEL A,1984,93,57000.0,West,11.0
533,1990,1,CHOA CHU KANG,3 ROOM,07 TO 09,74.0,MODEL A,1984,93,57300.0,West,8.0
534,1990,1,CHOA CHU KANG,3 ROOM,04 TO 06,67.0,NEW GENERATION,1978,87,42200.0,West,5.0
535,1990,1,CHOA CHU KANG,3 ROOM,07 TO 09,67.0,NEW GENERATION,1978,87,30000.0,West,8.0
536,1990,1,CHOA CHU KANG,3 ROOM,04 TO 06,67.0,NEW GENERATION,1979,88,35000.0,West,5.0
537,1990,1,CHOA CHU KANG,4 ROOM,10 TO 12,99.0,NEW GENERATION,1979,88,65000.0,West,11.0
538,1990,1,CHOA CHU KANG,5 ROOM,04 TO 06,119.0,IMPROVED,1979,88,90000.0,West,5.0
1845,1990,2,CHOA CHU KANG,3 ROOM,10 TO 12,74.0,MODEL A,1984,93,53000.0,West,11.0
1846,1990,2,CHOA CHU KANG,3 ROOM,13 TO 15,74.0,MODEL A,1984,93,57300.0,West,14.0
1847,1990,2,CHOA CHU KANG,3 ROOM,10 TO 12,74.0,MODEL A,1984,93,55000.0,West,11.0
1848,1990,2,CHOA CHU KANG,3 ROOM,04 TO 06,67.0,NEW GENERATION,1978,87,42200.0,West,5.0
1849,1990,2,CHOA CHU KANG,3 ROOM,07 TO 09,74.0,NEW GENERATION,1979,88,42200.0,West,8.0
1850,1990,2,CHOA CHU KANG,3 ROOM,04 TO 06,68.0,NEW GENERATION,1981,90,46900.0,West,5.0
1851,1990,2,CHOA CHU KANG,4 ROOM,04 TO 06,92.0,NEW GENERATION,1978,87,63000.0,West,5.0
1852,1990,2,CHOA CHU KANG,5 ROOM,10 TO 12,119.0,IMPROVED,1979,88,98000.0,West,11.0
1853,1990,2,CHOA CHU KANG,5 ROOM,19 TO 21,119.0,IMPROVED,1979,88,100000.0,West,20.0
2836,1990,3,CHOA CHU KANG,3 ROOM,01 TO 03,74.0,MODEL A,1984,93,57000.0,West,2.0
2837,1990,3,CHOA CHU KANG,3 ROOM,01 TO 03,74.0,MODEL A,1984,93,56000.0,West,2.0
2838,1990,3,CHOA CHU KANG,3 ROOM,10 TO 12,67.0,NEW GENERATION,1978,87,40000.0,West,11.0
2839,1990,3,CHOA CHU KANG,3 ROOM,07 TO 09,67.0,NEW GENERATION,1979,88,42000.0,West,8.0
2840,1990,3,CHOA CHU KANG,3 ROOM,01 TO 03,74.0,NEW GENERATION,1979,88,30000.0,West,2.0
2841,1990,3,CHOA CHU KANG,3 ROOM,10 TO 12,74.0,NEW GENERATION,1979,88,42200.0,West,11.0
2842,1990,3,CHOA CHU KANG,3 ROOM,07 TO 09,74.0,NEW GENERATION,1979,88,30000.0,West,8.0
2843,1990,3,CHOA CHU KANG,3 ROOM,10 TO 12,68.0,NEW GENERATION,1981,90,34000.0,West,11.0
2844,1990,3,CHOA CHU KANG,3 ROOM,04 TO 06,68.0,NEW GENERATION,1981,90,38000.0,West,5.0
2845,1990,3,CHOA CHU KANG,4 ROOM,13 TO 15,103.0,MODEL A,1984,93,104500.0,West,14.0
