year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1990,01,HOUGANG,3 ROOM,10 TO 12,71.0,IMPROVED,1975,84,32500.0
1990,01,HOUGANG,3 ROOM,13 TO 15,59.0,IMPROVED,1975,84,24000.0
1990,01,HOUGANG,3 ROOM,04 TO 06,59.0,IMPROVED,1975,84,25200.0
1990,01,HOUGANG,3 ROOM,04 TO 06,59.0,IMPROVED,1975,84,26000.0
1990,01,HOUGANG,3 ROOM,04 TO 06,59.0,IMPROVED,1975,84,31700.0
1990,01,HOUGANG,3 ROOM,01 TO 03,74.0,MODEL A,1983,92,55700.0
1990,01,HOUGANG,3 ROOM,13 TO 15,74.0,MODEL A,1983,92,48000.0
1990,01,HOUGANG,3 ROOM,01 TO 03,74.0,MODEL A,1983,92,49500.0
1990,01,HOUGANG,3 ROOM,10 TO 12,73.0,NEW GENERATION,1978,87,36700.0
1990,01,HOUGANG,3 ROOM,04 TO 06,73.0,NEW GENERATION,1978,87,33500.0
1990,01,HOUGANG,3 ROOM,10 TO 12,73.0,NEW GENERATION,1978,87,42200.0
1990,01,HOUGANG,3 ROOM,07 TO 09,88.0,NEW GENERATION,1978,87,50800.0
1990,01,HOUGANG,3 ROOM,01 TO 03,67.0,NEW GENERATION,1978,87,42000.0
1990,01,HOUGANG,3 ROOM,04 TO 06,82.0,NEW GENERATION,1981,90,63000.0
1990,01,HOUGANG,3 ROOM,04 TO 06,67.0,NEW GENERATION,1981,90,52000.0
1990,01,HOUGANG,3 ROOM,04 TO 06,82.0,NEW GENERATION,1981,90,63000.0
1990,01,HOUGANG,3 ROOM,07 TO 09,67.0,NEW GENERATION,1981,90,52500.0
1990,01,HOUGANG,3 ROOM,10 TO 12,66.0,NEW GENERATION,1982,91,38000.0
1990,01,HOUGANG,3 ROOM,07 TO 09,66.0,NEW GENERATION,1982,91,52200.0
1990,01,HOUGANG,3 ROOM,10 TO 12,70.0,NEW GENERATION,1983,92,52500.0
1990,01,HOUGANG,3 ROOM,07 TO 09,67.0,NEW GENERATION,1982,91,52500.0
