year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1990,01,KALLANG_WHAMPOA,2 ROOM,07 TO 09,50.0,STANDARD,1970,79,15300.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,59.0,IMPROVED,1976,85,45700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,10 TO 12,60.0,IMPROVED,1979,88,52000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,59.0,IMPROVED,1979,88,53000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,68.0,IMPROVED,1979,88,56000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,68.0,IMPROVED,1979,88,55700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,10 TO 12,66.0,IMPROVED,1980,89,38000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,01 TO 03,66.0,IMPROVED,1980,89,45700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,59.0,IMPROVED,1975,84,45700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,59.0,IMPROVED,1975,84,45000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,10 TO 12,78.0,IMPROVED,1972,81,40000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,22 TO 24,71.0,IMPROVED,1972,81,52700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,22 TO 24,71.0,IMPROVED,1972,81,53000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,10 TO 12,68.0,IMPROVED,1972,81,45500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,10 TO 12,66.0,IMPROVED,1972,81,36000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,66.0,IMPROVED,1972,81,45500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,59.0,IMPROVED,1973,82,44700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,65.0,IMPROVED,1974,83,40000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,65.0,IMPROVED,1974,83,42000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,65.0,IMPROVED,1974,83,46500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,59.0,IMPROVED,1974,83,33000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,66.0,IMPROVED,1974,83,39500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,65.0,IMPROVED,1974,83,43000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,65.0,IMPROVED,1974,83,40000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,65.0,IMPROVED,1974,83,45000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,65.0,IMPROVED,1974,83,45700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,65.0,IMPROVED,1974,83,42000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,65.0,IMPROVED,1981,90,40000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,65.0,IMPROVED,1981,90,44500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,10 TO 12,65.0,IMPROVED,1974,83,45500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,65.0,IMPROVED,1974,83,45000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,16 TO 18,65.0,IMPROVED,1974,83,45700.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,42000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,68.0,NEW GENERATION,1979,88,61000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,13 TO 15,68.0,NEW GENERATION,1979,88,61000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,68.0,NEW GENERATION,1979,88,52000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,01 TO 03,68.0,NEW GENERATION,1982,91,58000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,103.0,NEW GENERATION,1984,93,77000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,67.0,NEW GENERATION,1984,93,66500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,04 TO 06,63.0,STANDARD,1981,90,31400.0
1990,01,KALLANG_WHAMPOA,3 ROOM,01 TO 03,56.0,STANDARD,1971,80,26000.0
1990,01,KALLANG_WHAMPOA,3 ROOM,07 TO 09,56.0,STANDARD,1971,80,23500.0
1990,01,KALLANG_WHAMPOA,3 ROOM,01 TO 03,83.0,TERRACE,1972,81,53000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,07 TO 09,84.0,IMPROVED,1972,81,74900.0
1990,01,KALLANG_WHAMPOA,4 ROOM,10 TO 12,91.0,IMPROVED,1974,83,94000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,01 TO 03,91.0,IMPROVED,1974,83,90000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,04 TO 06,91.0,IMPROVED,1974,83,75100.0
1990,01,KALLANG_WHAMPOA,4 ROOM,16 TO 18,91.0,IMPROVED,1974,83,73000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,22 TO 24,91.0,IMPROVED,1974,83,81000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,01 TO 03,91.0,IMPROVED,1974,83,75000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,04 TO 06,105.0,MODEL A,1983,92,100000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,22 TO 24,103.0,MODEL A,1984,93,137250.0
1990,01,KALLANG_WHAMPOA,4 ROOM,04 TO 06,94.0,NEW GENERATION,1980,89,110000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,01 TO 03,91.0,NEW GENERATION,1982,91,85000.0
1990,01,KALLANG_WHAMPOA,4 ROOM,01 TO 03,91.0,NEW GENERATION,1984,93,100000.0
