Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
3217,1990,3,LIM CHU KANG,3 ROOM,01 TO 03,59.0,IMPROVED,1980,89,20400.0,West,2.0
5988,1990,6,LIM CHU KANG,4 ROOM,04 TO 06,83.0,IMPROVED,1980,89,32500.0,West,5.0
10136,1990,10,LIM CHU KANG,4 ROOM,01 TO 03,83.0,IMPROVED,1980,89,45700.0,West,2.0
14335,1991,2,LIM CHU KANG,3 ROOM,04 TO 06,70.0,IMPROVED,1980,88,33200.0,West,5.0
15153,1991,3,LIM CHU KANG,4 ROOM,01 TO 03,83.0,IMPROVED,1980,88,45500.0,West,2.0
16089,1991,4,LIM CHU KANG,3 ROOM,04 TO 06,59.0,IMPROVED,1980,88,20400.0,West,5.0
16090,1991,4,LIM CHU KANG,3 ROOM,04 TO 06,59.0,IMPROVED,1980,88,20400.0,West,5.0
16091,1991,4,LIM CHU KANG,4 ROOM,04 TO 06,84.0,IMPROVED,1980,88,32500.0,West,5.0
16092,1991,4,LIM CHU KANG,4 ROOM,01 TO 03,88.0,IMPROVED,1980,88,32500.0,West,2.0
17008,1991,5,LIM CHU KANG,3 ROOM,04 TO 06,59.0,IMPROVED,1980,88,28700.0,West,5.0
17009,1991,5,LIM CHU KANG,4 ROOM,01 TO 03,88.0,IMPROVED,1980,88,37000.0,West,2.0
18985,1991,7,LIM CHU KANG,3 ROOM,01 TO 03,59.0,IMPROVED,1980,88,28700.0,West,2.0
18986,1991,7,LIM CHU KANG,4 ROOM,01 TO 03,83.0,IMPROVED,1980,88,45700.0,West,2.0
20164,1991,8,LIM CHU KANG,3 ROOM,04 TO 06,70.0,IMPROVED,1980,88,29000.0,West,5.0
22573,1991,10,LIM CHU KANG,4 ROOM,01 TO 03,83.0,IMPROVED,1980,88,45000.0,West,2.0
23861,1991,11,LIM CHU KANG,3 ROOM,04 TO 06,59.0,IMPROVED,1980,88,28700.0,West,5.0
26197,1992,1,LIM CHU KANG,3 ROOM,01 TO 03,59.0,IMPROVED,1980,87,22000.0,West,2.0
26198,1992,1,LIM CHU KANG,3 ROOM,01 TO 03,59.0,IMPROVED,1980,87,22000.0,West,2.0
27203,1992,2,LIM CHU KANG,3 ROOM,04 TO 06,59.0,IMPROVED,1980,87,31900.0,West,5.0
28278,1992,3,LIM CHU KANG,3 ROOM,04 TO 06,59.0,IMPROVED,1980,87,22000.0,West,5.0
28279,1992,3,LIM CHU KANG,4 ROOM,01 TO 03,83.0,IMPROVED,1980,87,35000.0,West,2.0
