year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1990,01,MARINE PARADE,3 ROOM,04 TO 06,59.0,IMPROVED,1975,84,40000.0
1990,01,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1976,85,40000.0
1990,01,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1976,85,40200.0
1990,01,MARINE PARADE,3 ROOM,01 TO 03,76.0,IMPROVED,1976,85,45000.0
1990,01,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1976,85,40000.0
1990,01,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1975,84,43500.0
1990,01,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1975,84,44000.0
1990,01,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,37000.0
1990,01,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,43000.0
1990,01,MARINE PARADE,3 ROOM,16 TO 18,65.0,IMPROVED,1975,84,42000.0
1990,01,MARINE PARADE,3 ROOM,04 TO 06,76.0,IMPROVED,1975,84,55000.0
1990,01,MARINE PARADE,3 ROOM,10 TO 12,65.0,IMPROVED,1975,84,38000.0
1990,01,MARINE PARADE,3 ROOM,13 TO 15,76.0,IMPROVED,1975,84,58000.0
1990,01,MARINE PARADE,3 ROOM,10 TO 12,70.0,IMPROVED,1975,84,60000.0
1990,01,MARINE PARADE,4 ROOM,04 TO 06,87.0,IMPROVED,1976,85,85000.0
1990,01,MARINE PARADE,4 ROOM,01 TO 03,88.0,IMPROVED,1975,84,66000.0
1990,01,MARINE PARADE,4 ROOM,04 TO 06,88.0,IMPROVED,1975,84,65500.0
1990,01,MARINE PARADE,5 ROOM,19 TO 21,120.0,STANDARD,1975,84,155000.0
1990,01,MARINE PARADE,5 ROOM,04 TO 06,117.0,STANDARD,1977,86,143000.0
1990,01,MARINE PARADE,5 ROOM,25 TO 27,120.0,STANDARD,1977,86,156000.0
1990,01,MARINE PARADE,5 ROOM,01 TO 03,126.0,STANDARD,1977,86,150000.0
1990,01,MARINE PARADE,5 ROOM,04 TO 06,122.0,STANDARD,1977,86,145000.0
1990,01,MARINE PARADE,5 ROOM,04 TO 06,120.0,STANDARD,1975,84,110000.0
1990,01,MARINE PARADE,5 ROOM,10 TO 12,120.0,STANDARD,1975,84,158000.0
1990,01,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1975,84,135000.0
1990,01,MARINE PARADE,5 ROOM,01 TO 03,126.0,STANDARD,1975,84,145000.0
1990,01,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1975,84,165000.0
1990,02,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1976,85,40200.0
1990,02,MARINE PARADE,3 ROOM,13 TO 15,65.0,IMPROVED,1976,85,40000.0
1990,02,MARINE PARADE,3 ROOM,16 TO 18,76.0,IMPROVED,1976,85,50000.0
1990,02,MARINE PARADE,3 ROOM,10 TO 12,76.0,IMPROVED,1975,84,50000.0
1990,02,MARINE PARADE,3 ROOM,07 TO 09,76.0,IMPROVED,1975,84,55000.0
1990,02,MARINE PARADE,3 ROOM,16 TO 18,65.0,IMPROVED,1975,84,44000.0
1990,02,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1975,84,39000.0
1990,02,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1975,84,40000.0
1990,02,MARINE PARADE,3 ROOM,04 TO 06,59.0,IMPROVED,1975,84,40000.0
1990,02,MARINE PARADE,3 ROOM,10 TO 12,70.0,IMPROVED,1975,84,63990.0
1990,02,MARINE PARADE,4 ROOM,10 TO 12,88.0,IMPROVED,1975,84,87000.0
1990,02,MARINE PARADE,4 ROOM,04 TO 06,87.0,IMPROVED,1976,85,85000.0
1990,02,MARINE PARADE,4 ROOM,04 TO 06,87.0,IMPROVED,1976,85,64400.0
1990,02,MARINE PARADE,4 ROOM,07 TO 09,87.0,IMPROVED,1976,85,100000.0
1990,02,MARINE PARADE,4 ROOM,13 TO 15,88.0,IMPROVED,1975,84,70000.0
1990,02,MARINE PARADE,5 ROOM,10 TO 12,120.0,STANDARD,1975,84,125000.0
1990,02,MARINE PARADE,5 ROOM,19 TO 21,120.0,STANDARD,1977,86,172000.0
1990,02,MARINE PARADE,5 ROOM,01 TO 03,120.0,STANDARD,1977,86,177000.0
1990,02,MARINE PARADE,5 ROOM,19 TO 21,122.0,STANDARD,1975,84,145000.0
1990,03,MARINE PARADE,3 ROOM,07 TO 09,59.0,IMPROVED,1975,84,29000.0
1990,03,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1975,84,40000.0
1990,03,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1976,85,38000.0
1990,03,MARINE PARADE,3 ROOM,01 TO 03,76.0,IMPROVED,1976,85,39000.0
1990,03,MARINE PARADE,3 ROOM,10 TO 12,65.0,IMPROVED,1975,84,40000.0
1990,03,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1975,84,40200.0
1990,03,MARINE PARADE,3 ROOM,10 TO 12,65.0,IMPROVED,1975,84,40000.0
1990,03,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1975,84,39000.0
1990,03,MARINE PARADE,3 ROOM,10 TO 12,76.0,IMPROVED,1975,84,55000.0
1990,03,MARINE PARADE,3 ROOM,10 TO 12,65.0,IMPROVED,1975,84,32000.0
1990,03,MARINE PARADE,3 ROOM,13 TO 15,65.0,IMPROVED,1975,84,35000.0
1990,03,MARINE PARADE,3 ROOM,16 TO 18,76.0,IMPROVED,1975,84,54000.0
1990,03,MARINE PARADE,3 ROOM,10 TO 12,70.0,IMPROVED,1975,84,46500.0
1990,03,MARINE PARADE,4 ROOM,01 TO 03,82.0,IMPROVED,1975,84,75000.0
1990,03,MARINE PARADE,4 ROOM,10 TO 12,87.0,IMPROVED,1976,85,65000.0
1990,03,MARINE PARADE,4 ROOM,04 TO 06,82.0,IMPROVED,1976,85,100000.0
1990,03,MARINE PARADE,4 ROOM,07 TO 09,82.0,IMPROVED,1976,85,103000.0
1990,03,MARINE PARADE,4 ROOM,01 TO 03,82.0,IMPROVED,1976,85,95000.0
1990,03,MARINE PARADE,4 ROOM,07 TO 09,88.0,IMPROVED,1975,84,79500.0
1990,03,MARINE PARADE,5 ROOM,10 TO 12,128.0,STANDARD,1975,84,110000.0
1990,03,MARINE PARADE,5 ROOM,10 TO 12,120.0,STANDARD,1977,86,195000.0
1990,03,MARINE PARADE,5 ROOM,04 TO 06,120.0,STANDARD,1977,86,169800.0
1990,03,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1977,86,126000.0
1990,03,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1975,84,157000.0
1990,03,MARINE PARADE,5 ROOM,16 TO 18,120.0,STANDARD,1975,84,172000.0
1990,03,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1975,84,190000.0
1990,04,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,40000.0
1990,04,MARINE PARADE,3 ROOM,04 TO 06,79.0,IMPROVED,1976,85,46000.0
1990,04,MARINE PARADE,3 ROOM,10 TO 12,76.0,IMPROVED,1976,85,40000.0
1990,04,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1975,84,34000.0
1990,04,MARINE PARADE,3 ROOM,10 TO 12,65.0,IMPROVED,1975,84,30000.0
1990,04,MARINE PARADE,3 ROOM,01 TO 03,70.0,IMPROVED,1975,84,46000.0
1990,04,MARINE PARADE,4 ROOM,13 TO 15,87.0,IMPROVED,1976,85,80500.0
1990,04,MARINE PARADE,4 ROOM,07 TO 09,82.0,IMPROVED,1976,85,83000.0
1990,04,MARINE PARADE,4 ROOM,01 TO 03,88.0,IMPROVED,1975,84,65000.0
1990,04,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1977,86,150000.0
1990,04,MARINE PARADE,5 ROOM,07 TO 09,123.0,STANDARD,1977,86,165000.0
1990,04,MARINE PARADE,5 ROOM,13 TO 15,117.0,STANDARD,1977,86,150000.0
1990,04,MARINE PARADE,5 ROOM,13 TO 15,120.0,STANDARD,1975,84,135000.0
1990,04,MARINE PARADE,5 ROOM,10 TO 12,120.0,STANDARD,1975,84,140000.0
1990,04,MARINE PARADE,5 ROOM,04 TO 06,120.0,STANDARD,1975,84,161000.0
1990,04,MARINE PARADE,5 ROOM,16 TO 18,117.0,STANDARD,1975,84,175000.0
1990,04,MARINE PARADE,5 ROOM,04 TO 06,120.0,STANDARD,1975,84,159000.0
1990,05,MARINE PARADE,3 ROOM,01 TO 03,65.0,IMPROVED,1975,84,40000.0
1990,05,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,39500.0
1990,05,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1976,85,34000.0
1990,05,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,38000.0
1990,05,MARINE PARADE,3 ROOM,13 TO 15,76.0,IMPROVED,1975,84,46000.0
1990,05,MARINE PARADE,3 ROOM,10 TO 12,65.0,IMPROVED,1975,84,55000.0
1990,05,MARINE PARADE,4 ROOM,16 TO 18,88.0,IMPROVED,1975,84,104000.0
1990,05,MARINE PARADE,4 ROOM,13 TO 15,87.0,IMPROVED,1976,85,92000.0
1990,05,MARINE PARADE,4 ROOM,07 TO 09,88.0,IMPROVED,1975,84,111000.0
1990,05,MARINE PARADE,5 ROOM,07 TO 09,120.0,STANDARD,1975,84,130000.0
1990,05,MARINE PARADE,5 ROOM,13 TO 15,120.0,STANDARD,1975,84,110000.0
1990,05,MARINE PARADE,5 ROOM,22 TO 24,120.0,STANDARD,1977,86,140000.0
1990,06,MARINE PARADE,3 ROOM,07 TO 09,65.0,IMPROVED,1975,84,40000.0
1990,06,MARINE PARADE,4 ROOM,10 TO 12,82.0,IMPROVED,1976,85,90000.0
1990,06,MARINE PARADE,4 ROOM,04 TO 06,82.0,IMPROVED,1976,85,70000.0
1990,06,MARINE PARADE,4 ROOM,04 TO 06,88.0,IMPROVED,1975,84,80500.0
1990,06,MARINE PARADE,4 ROOM,04 TO 06,88.0,IMPROVED,1975,84,95000.0
1990,06,MARINE PARADE,4 ROOM,10 TO 12,82.0,IMPROVED,1975,84,85000.0
1990,06,MARINE PARADE,4 ROOM,04 TO 06,88.0,IMPROVED,1975,84,111000.0
1990,06,MARINE PARADE,5 ROOM,10 TO 12,122.0,STANDARD,1977,86,172000.0
1990,06,MARINE PARADE,5 ROOM,01 TO 03,128.0,STANDARD,1977,86,164000.0
1990,06,MARINE PARADE,5 ROOM,13 TO 15,117.0,STANDARD,1977,86,188000.0
1990,06,MARINE PARADE,5 ROOM,13 TO 15,120.0,STANDARD,1977,86,175000.0
1990,06,MARINE PARADE,5 ROOM,04 TO 06,120.0,STANDARD,1975,84,147000.0
1990,06,MARINE PARADE,5 ROOM,10 TO 12,120.0,STANDARD,1975,84,170000.0
1990,07,MARINE PARADE,3 ROOM,07 TO 09,70.0,IMPROVED,1975,84,40000.0
1990,07,MARINE PARADE,3 ROOM,16 TO 18,65.0,IMPROVED,1976,85,40000.0
1990,07,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,40000.0
1990,07,MARINE PARADE,3 ROOM,04 TO 06,65.0,IMPROVED,1975,84,35000.0
1990,07,MARINE PARADE,3 ROOM,07 TO 09,76.0,IMPROVED,1975,84,46000.0
1990,07,MARINE PARADE,4 ROOM,07 TO 09,87.0,IMPROVED,1976,85,100000.0
1990,07,MARINE PARADE,4 ROOM,01 TO 03,88.0,IMPROVED,1975,84,85000.0
1990,07,MARINE PARADE,5 ROOM,22 TO 24,126.0,STANDARD,1975,84,180000.0
1990,07,MARINE PARADE,5 ROOM,16 TO 18,126.0,STANDARD,1975,84,140000.0
1990,07,MARINE PARADE,5 ROOM,19 TO 21,120.0,STANDARD,1977,86,170000.0
1990,07,MARINE PARADE,5 ROOM,25 TO 27,126.0,STANDARD,1977,86,170000.0
1990,07,MARINE PARADE,5 ROOM,10 TO 12,120.0,STANDARD,1977,86,188000.0
1990,07,MARINE PARADE,5 ROOM,10 TO 12,122.0,STANDARD,1977,86,195000.0
1990,07,MARINE PARADE,5 ROOM,25 TO 27,120.0,STANDARD,1977,86,150000.0
1990,07,MARINE PARADE,5 ROOM,10 TO 12,122.0,STANDARD,1975,84,182000.0
