Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
20182,1991,8,PASIR RIS,5 ROOM,04 TO 06,122.0,IMPROVED,1989,97,100000.0,East,5.0
22595,1991,10,PASIR RIS,4 ROOM,07 TO 09,116.0,MODEL A,1989,97,126000.0,East,8.0
23879,1991,11,PASIR RIS,4 ROOM,04 TO 06,104.0,MODEL A,1989,97,85000.0,East,5.0
28303,1992,3,PASIR RIS,5 ROOM,10 TO 12,123.0,IMPROVED,1989,96,110000.0,East,11.0
28304,1992,3,PASIR RIS,5 ROOM,10 TO 12,128.0,IMPROVED,1990,97,140000.0,East,11.0
29370,1992,4,PASIR RIS,4 ROOM,10 TO 12,103.0,MODEL A,1989,96,90000.0,East,11.0
30467,1992,5,PASIR RIS,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,95,160000.0,East,11.0
34060,1992,8,PASIR RIS,5 ROOM,01 TO 03,121.0,IMPROVED,1989,96,153000.0,East,2.0
34061,1992,8,PASIR RIS,EXECUTIVE,07 TO 09,143.0,APARTMENT,1992,99,208000.0,East,8.0
34062,1992,8,PASIR RIS,EXECUTIVE,07 TO 09,154.0,MAISONETTE,1988,95,255000.0,East,8.0
34063,1992,8,PASIR RIS,EXECUTIVE,04 TO 06,147.0,MAISONETTE,1990,97,320000.0,East,5.0
35369,1992,9,PASIR RIS,4 ROOM,01 TO 03,103.0,MODEL A,1990,97,90000.0,East,2.0
35370,1992,9,PASIR RIS,5 ROOM,10 TO 12,123.0,IMPROVED,1992,99,188000.0,East,11.0
36779,1992,10,PASIR RIS,4 ROOM,04 TO 06,103.0,MODEL A,1989,96,79660.0,East,5.0
38089,1992,11,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,95,215000.0,East,5.0
40600,1993,1,PASIR RIS,5 ROOM,04 TO 06,122.0,IMPROVED,1989,95,180000.0,East,5.0
42855,1993,3,PASIR RIS,4 ROOM,01 TO 03,103.0,MODEL A,1989,95,100000.0,East,2.0
42856,1993,3,PASIR RIS,EXECUTIVE,01 TO 03,146.0,MAISONETTE,1989,95,110000.0,East,2.0
45013,1993,5,PASIR RIS,4 ROOM,01 TO 03,106.0,MODEL A,1989,95,110000.0,East,2.0
45014,1993,5,PASIR RIS,EXECUTIVE,01 TO 03,149.0,MAISONETTE,1988,94,247000.0,East,2.0
45015,1993,5,PASIR RIS,EXECUTIVE,01 TO 03,147.0,MAISONETTE,1989,95,290000.0,East,2.0
46235,1993,6,PASIR RIS,4 ROOM,10 TO 12,84.0,SIMPLIFIED,1988,94,116000.0,East,11.0
47565,1993,7,PASIR RIS,4 ROOM,04 TO 06,104.0,MODEL A,1988,94,145000.0,East,5.0
47566,1993,7,PASIR RIS,4 ROOM,01 TO 03,111.0,MODEL A,1990,96,130000.0,East,2.0
47567,1993,7,PASIR RIS,4 ROOM,04 TO 06,84.0,SIMPLIFIED,1988,94,130000.0,East,5.0
47568,1993,7,PASIR RIS,5 ROOM,10 TO 12,123.0,IMPROVED,1992,98,215000.0,East,11.0
47569,1993,7,PASIR RIS,EXECUTIVE,07 TO 09,151.0,MAISONETTE,1988,94,281000.0,East,8.0
47570,1993,7,PASIR RIS,EXECUTIVE,07 TO 09,148.0,MAISONETTE,1992,98,330000.0,East,8.0
49040,1993,8,PASIR RIS,EXECUTIVE,07 TO 09,142.0,APARTMENT,1988,94,247000.0,East,8.0
49041,1993,8,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,247500.0,East,8.0
50660,1993,9,PASIR RIS,4 ROOM,04 TO 06,106.0,MODEL A,1989,95,170000.0,East,5.0
50661,1993,9,PASIR RIS,5 ROOM,07 TO 09,128.0,IMPROVED,1988,94,174000.0,East,8.0
50662,1993,9,PASIR RIS,5 ROOM,10 TO 12,122.0,IMPROVED,1989,95,238000.0,East,11.0
50663,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,142.0,APARTMENT,1988,94,290000.0,East,5.0
50664,1993,9,PASIR RIS,EXECUTIVE,07 TO 09,142.0,APARTMENT,1988,94,245000.0,East,8.0
50665,1993,9,PASIR RIS,EXECUTIVE,01 TO 03,145.0,MAISONETTE,1988,94,275000.0,East,2.0
50666,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,151.0,MAISONETTE,1988,94,325000.0,East,5.0
50667,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,320000.0,East,5.0
50668,1993,9,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,258000.0,East,8.0
50669,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,363000.0,East,5.0
50670,1993,9,PASIR RIS,EXECUTIVE,07 TO 09,154.0,MAISONETTE,1988,94,315000.0,East,8.0
50671,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,310000.0,East,5.0
50672,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,305000.0,East,5.0
50673,1993,9,PASIR RIS,EXECUTIVE,07 TO 09,149.0,MAISONETTE,1988,94,370000.0,East,8.0
50674,1993,9,PASIR RIS,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,280000.0,East,11.0
50675,1993,9,PASIR RIS,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,290000.0,East,11.0
50676,1993,9,PASIR RIS,EXECUTIVE,04 TO 06,149.0,MAISONETTE,1988,94,225000.0,East,5.0
50677,1993,9,PASIR RIS,EXECUTIVE,07 TO 09,149.0,MAISONETTE,1988,94,317000.0,East,8.0
50678,1993,9,PASIR RIS,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,303000.0,East,11.0
52517,1993,10,PASIR RIS,4 ROOM,01 TO 03,104.0,MODEL A,1989,95,100000.0,East,2.0
52518,1993,10,PASIR RIS,4 ROOM,10 TO 12,103.0,MODEL A,1989,95,170000.0,East,11.0
52519,1993,10,PASIR RIS,5 ROOM,04 TO 06,123.0,IMPROVED,1989,95,230000.0,East,5.0
52520,1993,10,PASIR RIS,5 ROOM,10 TO 12,122.0,IMPROVED,1989,95,190000.0,East,11.0
52521,1993,10,PASIR RIS,5 ROOM,10 TO 12,123.0,IMPROVED,1989,95,280000.0,East,11.0
52522,1993,10,PASIR RIS,5 ROOM,07 TO 09,132.0,IMPROVED,1989,95,210000.0,East,8.0
52523,1993,10,PASIR RIS,5 ROOM,07 TO 09,128.0,IMPROVED,1988,94,260000.0,East,8.0
52524,1993,10,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,310000.0,East,8.0
52525,1993,10,PASIR RIS,EXECUTIVE,04 TO 06,149.0,MAISONETTE,1988,94,360000.0,East,5.0
52526,1993,10,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,345000.0,East,5.0
52527,1993,10,PASIR RIS,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,360000.0,East,11.0
52528,1993,10,PASIR RIS,EXECUTIVE,10 TO 12,146.0,MAISONETTE,1988,94,292500.0,East,11.0
52529,1993,10,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,327000.0,East,5.0
52530,1993,10,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1989,95,380000.0,East,5.0
54747,1993,11,PASIR RIS,4 ROOM,04 TO 06,105.0,MODEL A,1989,95,135000.0,East,5.0
54748,1993,11,PASIR RIS,4 ROOM,07 TO 09,113.0,MODEL A,1989,95,145000.0,East,8.0
54749,1993,11,PASIR RIS,4 ROOM,07 TO 09,105.0,MODEL A,1989,95,140000.0,East,8.0
54750,1993,11,PASIR RIS,4 ROOM,07 TO 09,104.0,MODEL A,1989,95,175000.0,East,8.0
54751,1993,11,PASIR RIS,4 ROOM,07 TO 09,104.0,MODEL A,1989,95,203000.0,East,8.0
54752,1993,11,PASIR RIS,4 ROOM,10 TO 12,102.0,MODEL A,1989,95,183000.0,East,11.0
54753,1993,11,PASIR RIS,5 ROOM,07 TO 09,132.0,IMPROVED,1989,95,230000.0,East,8.0
54754,1993,11,PASIR RIS,5 ROOM,10 TO 12,132.0,IMPROVED,1989,95,250000.0,East,11.0
54755,1993,11,PASIR RIS,5 ROOM,01 TO 03,132.0,IMPROVED,1989,95,155000.0,East,2.0
54756,1993,11,PASIR RIS,5 ROOM,07 TO 09,132.0,IMPROVED,1989,95,225000.0,East,8.0
54757,1993,11,PASIR RIS,5 ROOM,10 TO 12,132.0,IMPROVED,1989,95,280000.0,East,11.0
54758,1993,11,PASIR RIS,5 ROOM,01 TO 03,122.0,IMPROVED,1989,95,210000.0,East,2.0
54759,1993,11,PASIR RIS,5 ROOM,07 TO 09,132.0,IMPROVED,1989,95,305000.0,East,8.0
54760,1993,11,PASIR RIS,5 ROOM,13 TO 15,132.0,IMPROVED,1989,95,255000.0,East,14.0
54761,1993,11,PASIR RIS,5 ROOM,04 TO 06,128.0,IMPROVED,1989,95,210000.0,East,5.0
54762,1993,11,PASIR RIS,5 ROOM,10 TO 12,137.0,MODEL A,1993,99,270000.0,East,11.0
54763,1993,11,PASIR RIS,EXECUTIVE,07 TO 09,142.0,APARTMENT,1988,94,380000.0,East,8.0
54764,1993,11,PASIR RIS,EXECUTIVE,10 TO 12,142.0,APARTMENT,1992,98,390000.0,East,11.0
54765,1993,11,PASIR RIS,EXECUTIVE,01 TO 03,147.0,MAISONETTE,1988,94,372000.0,East,2.0
54766,1993,11,PASIR RIS,EXECUTIVE,01 TO 03,147.0,MAISONETTE,1988,94,288000.0,East,2.0
54767,1993,11,PASIR RIS,EXECUTIVE,01 TO 03,145.0,MAISONETTE,1988,94,250000.0,East,2.0
54768,1993,11,PASIR RIS,EXECUTIVE,01 TO 03,147.0,MAISONETTE,1988,94,333000.0,East,2.0
54769,1993,11,PASIR RIS,EXECUTIVE,01 TO 03,146.0,MAISONETTE,1988,94,285000.0,East,2.0
54770,1993,11,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,300000.0,East,8.0
54771,1993,11,PASIR RIS,EXECUTIVE,01 TO 03,146.0,MAISONETTE,1988,94,320000.0,East,2.0
54772,1993,11,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,350000.0,East,8.0
54773,1993,11,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,333000.0,East,8.0
54774,1993,11,PASIR RIS,EXECUTIVE,10 TO 12,149.0,MAISONETTE,1988,94,355000.0,East,11.0
54775,1993,11,PASIR RIS,EXECUTIVE,10 TO 12,149.0,MAISONETTE,1988,94,330000.0,East,11.0
54776,1993,11,PASIR RIS,EXECUTIVE,10 TO 12,154.0,MAISONETTE,1988,94,385000.0,East,11.0
54777,1993,11,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,310000.0,East,5.0
54778,1993,11,PASIR RIS,EXECUTIVE,04 TO 06,149.0,MAISONETTE,1988,94,370000.0,East,5.0
57134,1993,12,PASIR RIS,4 ROOM,01 TO 03,105.0,MODEL A,1989,95,165000.0,East,2.0
57135,1993,12,PASIR RIS,4 ROOM,04 TO 06,105.0,MODEL A,1989,95,160000.0,East,5.0
57136,1993,12,PASIR RIS,4 ROOM,10 TO 12,103.0,MODEL A,1989,95,170000.0,East,11.0
57137,1993,12,PASIR RIS,4 ROOM,10 TO 12,103.0,MODEL A,1989,95,190000.0,East,11.0
57138,1993,12,PASIR RIS,4 ROOM,10 TO 12,104.0,MODEL A,1988,94,207000.0,East,11.0
57139,1993,12,PASIR RIS,4 ROOM,01 TO 03,103.0,MODEL A,1989,95,155000.0,East,2.0
57140,1993,12,PASIR RIS,4 ROOM,01 TO 03,84.0,SIMPLIFIED,1988,94,135000.0,East,2.0
57141,1993,12,PASIR RIS,5 ROOM,07 TO 09,132.0,IMPROVED,1989,95,250000.0,East,8.0
57142,1993,12,PASIR RIS,5 ROOM,04 TO 06,132.0,IMPROVED,1989,95,233000.0,East,5.0
57143,1993,12,PASIR RIS,5 ROOM,10 TO 12,122.0,IMPROVED,1989,95,215000.0,East,11.0
57144,1993,12,PASIR RIS,5 ROOM,10 TO 12,132.0,IMPROVED,1989,95,150000.0,East,11.0
57145,1993,12,PASIR RIS,5 ROOM,10 TO 12,123.0,IMPROVED,1989,95,285000.0,East,11.0
57146,1993,12,PASIR RIS,5 ROOM,01 TO 03,122.0,IMPROVED,1988,94,140000.0,East,2.0
57147,1993,12,PASIR RIS,5 ROOM,10 TO 12,128.0,IMPROVED,1989,95,235000.0,East,11.0
57148,1993,12,PASIR RIS,5 ROOM,01 TO 03,122.0,IMPROVED,1989,95,188000.0,East,2.0
57149,1993,12,PASIR RIS,5 ROOM,10 TO 12,122.0,IMPROVED,1989,95,225000.0,East,11.0
57150,1993,12,PASIR RIS,5 ROOM,10 TO 12,132.0,IMPROVED,1990,96,238000.0,East,11.0
57151,1993,12,PASIR RIS,5 ROOM,04 TO 06,122.0,IMPROVED,1989,95,270000.0,East,5.0
57152,1993,12,PASIR RIS,5 ROOM,10 TO 12,122.0,IMPROVED,1989,95,225000.0,East,11.0
57153,1993,12,PASIR RIS,5 ROOM,04 TO 06,123.0,IMPROVED,1992,98,244000.0,East,5.0
57154,1993,12,PASIR RIS,EXECUTIVE,01 TO 03,142.0,APARTMENT,1992,98,330000.0,East,2.0
57155,1993,12,PASIR RIS,EXECUTIVE,10 TO 12,145.0,APARTMENT,1993,99,345000.0,East,11.0
57156,1993,12,PASIR RIS,EXECUTIVE,01 TO 03,145.0,MAISONETTE,1988,94,292000.0,East,2.0
57157,1993,12,PASIR RIS,EXECUTIVE,01 TO 03,147.0,MAISONETTE,1988,94,325500.0,East,2.0
57158,1993,12,PASIR RIS,EXECUTIVE,07 TO 09,146.0,MAISONETTE,1988,94,255000.0,East,8.0
57159,1993,12,PASIR RIS,EXECUTIVE,01 TO 03,154.0,MAISONETTE,1988,94,305000.0,East,2.0
57160,1993,12,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,297000.0,East,5.0
57161,1993,12,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,355000.0,East,5.0
57162,1993,12,PASIR RIS,EXECUTIVE,04 TO 06,151.0,MAISONETTE,1988,94,365000.0,East,5.0
57163,1993,12,PASIR RIS,EXECUTIVE,04 TO 06,146.0,MAISONETTE,1988,94,325000.0,East,5.0
