Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
463908,2005,4,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,97,292800.0,North-East,11.0
466281,2005,5,PUNGGOL,4 ROOM,04 TO 06,90.0,MODEL A,2003,97,245000.0,North-East,5.0
466282,2005,5,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,97,318000.0,North-East,8.0
468785,2005,6,PUNGGOL,4 ROOM,13 TO 15,91.0,MODEL A,2003,97,255000.0,North-East,14.0
471196,2005,7,PUNGGOL,4 ROOM,10 TO 12,85.0,MODEL A,2003,97,235000.0,North-East,11.0
476166,2005,9,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,97,302888.0,North-East,11.0
478711,2005,10,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,97,315000.0,North-East,8.0
478712,2005,10,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,97,305000.0,North-East,17.0
481157,2005,11,PUNGGOL,5 ROOM,04 TO 06,110.0,IMPROVED,2004,98,282500.0,North-East,5.0
481158,2005,11,PUNGGOL,5 ROOM,13 TO 15,110.0,IMPROVED,2003,97,300000.0,North-East,14.0
481159,2005,11,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,97,305000.0,North-East,17.0
483475,2005,12,PUNGGOL,4 ROOM,16 TO 18,90.0,MODEL A,2003,97,268000.0,North-East,17.0
483476,2005,12,PUNGGOL,4 ROOM,10 TO 12,91.0,PREMIUM APARTMENT,2003,97,252000.0,North-East,11.0
483477,2005,12,PUNGGOL,5 ROOM,13 TO 15,110.0,IMPROVED,2003,97,275000.0,North-East,14.0
483478,2005,12,PUNGGOL,5 ROOM,13 TO 15,110.0,PREMIUM APARTMENT,2005,99,318000.0,North-East,14.0
485623,2006,1,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,96,310000.0,North-East,11.0
485624,2006,1,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2002,95,292000.0,North-East,17.0
485625,2006,1,PUNGGOL,5 ROOM,13 TO 15,113.0,PREMIUM APARTMENT,2003,96,318000.0,North-East,14.0
485626,2006,1,PUNGGOL,5 ROOM,19 TO 21,114.0,PREMIUM APARTMENT,2004,97,330000.0,North-East,20.0
487718,2006,2,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,96,318000.0,North-East,11.0
490103,2006,3,PUNGGOL,5 ROOM,13 TO 15,110.0,IMPROVED,2003,96,303000.0,North-East,14.0
490104,2006,3,PUNGGOL,5 ROOM,01 TO 03,110.0,IMPROVED,2004,97,288000.0,North-East,2.0
490105,2006,3,PUNGGOL,5 ROOM,10 TO 12,109.0,IMPROVED,2002,95,297000.0,North-East,11.0
490106,2006,3,PUNGGOL,5 ROOM,10 TO 12,109.0,IMPROVED,2002,95,296000.0,North-East,11.0
490107,2006,3,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,96,280000.0,North-East,8.0
492363,2006,4,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,96,316000.0,North-East,17.0
492364,2006,4,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,96,292000.0,North-East,11.0
492365,2006,4,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,96,306000.0,North-East,17.0
492366,2006,4,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,96,268000.0,North-East,8.0
494609,2006,5,PUNGGOL,4 ROOM,07 TO 09,90.0,MODEL A,2003,96,253000.0,North-East,8.0
494610,2006,5,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,96,295000.0,North-East,8.0
494611,2006,5,PUNGGOL,5 ROOM,13 TO 15,110.0,IMPROVED,2003,96,306500.0,North-East,14.0
494612,2006,5,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,96,308000.0,North-East,17.0
494613,2006,5,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,96,308000.0,North-East,11.0
494614,2006,5,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,96,295000.0,North-East,8.0
494615,2006,5,PUNGGOL,5 ROOM,04 TO 06,110.0,IMPROVED,2003,96,290000.0,North-East,5.0
494616,2006,5,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,96,313000.0,North-East,11.0
494617,2006,5,PUNGGOL,5 ROOM,07 TO 09,110.0,IMPROVED,2003,96,298000.0,North-East,8.0
497116,2006,6,PUNGGOL,5 ROOM,13 TO 15,110.0,IMPROVED,2002,95,305000.0,North-East,14.0
497117,2006,6,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2002,95,297000.0,North-East,11.0
497118,2006,6,PUNGGOL,5 ROOM,13 TO 15,109.0,IMPROVED,2002,95,307000.0,North-East,14.0
497119,2006,6,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,96,312000.0,North-East,17.0
499608,2006,7,PUNGGOL,4 ROOM,07 TO 09,85.0,MODEL A,2004,97,240000.0,North-East,8.0
499609,2006,7,PUNGGOL,4 ROOM,16 TO 18,90.0,MODEL A,2003,96,266000.0,North-East,17.0
499610,2006,7,PUNGGOL,4 ROOM,07 TO 09,90.0,MODEL A,2003,96,257000.0,North-East,8.0
499611,2006,7,PUNGGOL,4 ROOM,07 TO 09,85.0,MODEL A,2003,96,228000.0,North-East,8.0
499612,2006,7,PUNGGOL,4 ROOM,13 TO 15,90.0,MODEL A,2003,96,250000.0,North-East,14.0
499613,2006,7,PUNGGOL,4 ROOM,13 TO 15,90.0,MODEL A,2003,96,255000.0,North-East,14.0
499614,2006,7,PUNGGOL,4 ROOM,13 TO 15,90.0,PREMIUM APARTMENT,2003,96,253000.0,North-East,14.0
499615,2006,7,PUNGGOL,4 ROOM,13 TO 15,94.0,PREMIUM APARTMENT,2003,96,268000.0,North-East,14.0
499616,2006,7,PUNGGOL,4 ROOM,13 TO 15,95.0,PREMIUM APARTMENT,2003,96,250000.0,North-East,14.0
499617,2006,7,PUNGGOL,4 ROOM,16 TO 18,95.0,PREMIUM APARTMENT,2004,97,268000.0,North-East,17.0
499618,2006,7,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2004,97,308000.0,North-East,11.0
499619,2006,7,PUNGGOL,5 ROOM,16 TO 18,110.0,IMPROVED,2003,96,312000.0,North-East,17.0
499620,2006,7,PUNGGOL,5 ROOM,10 TO 12,110.0,IMPROVED,2003,96,301000.0,North-East,11.0
499621,2006,7,PUNGGOL,5 ROOM,04 TO 06,110.0,IMPROVED,2003,96,288000.0,North-East,5.0
