Unnamed: 0,year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,district,range_numeric
5231,1990,5,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,84,21300.0,North,2.0
6052,1990,6,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,84,21300.0,North,8.0
15210,1991,3,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,83,28500.0,North,8.0
15211,1991,3,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,83,21300.0,North,2.0
16158,1991,4,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,83,24000.0,North,2.0
27263,1992,2,SEMBAWANG,3 ROOM,10 TO 12,64.0,IMPROVED,1975,82,28000.0,North,11.0
27264,1992,2,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,82,35000.0,North,2.0
50747,1993,9,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,81,72000.0,North,8.0
94418,1995,6,SEMBAWANG,3 ROOM,10 TO 12,64.0,IMPROVED,1975,79,88000.0,North,11.0
94419,1995,6,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,79,77000.0,North,8.0
104361,1995,10,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,79,84000.0,North,2.0
107534,1995,11,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,79,88000.0,North,2.0
119302,1996,3,SEMBAWANG,3 ROOM,04 TO 06,64.0,IMPROVED,1975,78,86000.0,North,5.0
130614,1996,7,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,78,105000.0,North,8.0
139869,1996,10,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,78,95000.0,North,2.0
153109,1997,3,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,77,132000.0,North,8.0
167498,1997,8,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,77,120000.0,North,8.0
203118,1998,7,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,76,95000.0,North,8.0
207570,1998,8,SEMBAWANG,3 ROOM,04 TO 06,64.0,IMPROVED,1975,76,92000.0,North,5.0
255183,1999,5,SEMBAWANG,3 ROOM,04 TO 06,64.0,IMPROVED,1975,75,70000.0,North,5.0
260870,1999,6,SEMBAWANG,3 ROOM,07 TO 09,64.0,IMPROVED,1975,75,68000.0,North,8.0
266541,1999,7,SEMBAWANG,3 ROOM,10 TO 12,64.0,IMPROVED,1975,75,67000.0,North,11.0
279789,1999,10,SEMBAWANG,3 ROOM,10 TO 12,64.0,IMPROVED,1975,75,68000.0,North,11.0
283346,1999,11,SEMBAWANG,3 ROOM,01 TO 03,64.0,IMPROVED,1975,75,86000.0,North,2.0
383776,2002,8,SEMBAWANG,5 ROOM,10 TO 12,123.0,IMPROVED,1999,96,315000.0,North,11.0
383777,2002,8,SEMBAWANG,EXECUTIVE,07 TO 09,141.0,APARTMENT,1998,95,383000.0,North,8.0
383778,2002,8,SEMBAWANG,EXECUTIVE,10 TO 12,141.0,MAISONETTE,1998,95,412000.0,North,11.0
383779,2002,8,SEMBAWANG,EXECUTIVE,10 TO 12,142.0,MAISONETTE,1998,95,390000.0,North,11.0
383780,2002,8,SEMBAWANG,EXECUTIVE,13 TO 15,141.0,MAISONETTE,1998,95,395000.0,North,14.0
386553,2002,9,SEMBAWANG,4 ROOM,10 TO 12,100.0,MODEL A,1998,95,218200.0,North,11.0
386554,2002,9,SEMBAWANG,4 ROOM,04 TO 06,101.0,MODEL A,1999,96,209000.0,North,5.0
386555,2002,9,SEMBAWANG,4 ROOM,04 TO 06,101.0,MODEL A,1999,96,215000.0,North,5.0
386556,2002,9,SEMBAWANG,4 ROOM,10 TO 12,100.0,MODEL A,1999,96,223000.0,North,11.0
386557,2002,9,SEMBAWANG,4 ROOM,10 TO 12,100.0,MODEL A,1999,96,226000.0,North,11.0
386558,2002,9,SEMBAWANG,4 ROOM,13 TO 15,100.0,MODEL A,1999,96,253000.0,North,14.0
386559,2002,9,SEMBAWANG,4 ROOM,07 TO 09,97.0,MODEL A2,1998,95,210000.0,North,8.0
386560,2002,9,SEMBAWANG,4 ROOM,07 TO 09,97.0,MODEL A2,1998,95,218000.0,North,8.0
386561,2002,9,SEMBAWANG,4 ROOM,07 TO 09,91.0,MODEL A2,1998,95,185000.0,North,8.0
386562,2002,9,SEMBAWANG,4 ROOM,07 TO 09,91.0,MODEL A2,1998,95,192500.0,North,8.0
386563,2002,9,SEMBAWANG,4 ROOM,01 TO 03,91.0,MODEL A2,1998,95,192000.0,North,2.0
386564,2002,9,SEMBAWANG,4 ROOM,01 TO 03,91.0,MODEL A2,1998,95,193000.0,North,2.0
386565,2002,9,SEMBAWANG,4 ROOM,07 TO 09,91.0,MODEL A2,1998,95,193000.0,North,8.0
386566,2002,9,SEMBAWANG,4 ROOM,07 TO 09,97.0,MODEL A2,1998,95,212000.0,North,8.0
386567,2002,9,SEMBAWANG,5 ROOM,07 TO 09,121.0,IMPROVED,1998,95,299000.0,North,8.0
386568,2002,9,SEMBAWANG,5 ROOM,10 TO 12,121.0,IMPROVED,1998,95,306000.0,North,11.0
386569,2002,9,SEMBAWANG,5 ROOM,07 TO 09,121.0,IMPROVED,1998,95,293000.0,North,8.0
386570,2002,9,SEMBAWANG,EXECUTIVE,07 TO 09,143.0,MAISONETTE,1998,95,398000.0,North,8.0
389612,2002,10,SEMBAWANG,4 ROOM,01 TO 03,100.0,MODEL A,1998,95,203000.0,North,2.0
389613,2002,10,SEMBAWANG,4 ROOM,07 TO 09,100.0,MODEL A,1998,95,214000.0,North,8.0
389614,2002,10,SEMBAWANG,4 ROOM,01 TO 03,101.0,MODEL A,1999,96,223500.0,North,2.0
389615,2002,10,SEMBAWANG,4 ROOM,13 TO 15,102.0,MODEL A,1999,96,223500.0,North,14.0
389616,2002,10,SEMBAWANG,4 ROOM,10 TO 12,101.0,MODEL A,1999,96,213000.0,North,11.0
389617,2002,10,SEMBAWANG,4 ROOM,01 TO 03,101.0,MODEL A,1999,96,202500.0,North,2.0
389618,2002,10,SEMBAWANG,4 ROOM,01 TO 03,100.0,MODEL A,1999,96,201000.0,North,2.0
389619,2002,10,SEMBAWANG,4 ROOM,04 TO 06,100.0,MODEL A,1999,96,213000.0,North,5.0
389620,2002,10,SEMBAWANG,4 ROOM,04 TO 06,100.0,MODEL A,1999,96,214000.0,North,5.0
389621,2002,10,SEMBAWANG,4 ROOM,10 TO 12,101.0,MODEL A,1999,96,226000.0,North,11.0
389622,2002,10,SEMBAWANG,4 ROOM,04 TO 06,100.0,MODEL A,1999,96,216500.0,North,5.0
389623,2002,10,SEMBAWANG,4 ROOM,07 TO 09,100.0,MODEL A,1999,96,225000.0,North,8.0
389624,2002,10,SEMBAWANG,4 ROOM,13 TO 15,100.0,MODEL A,1999,96,223500.0,North,14.0
389625,2002,10,SEMBAWANG,4 ROOM,04 TO 06,100.0,MODEL A,1999,96,214000.0,North,5.0
389626,2002,10,SEMBAWANG,4 ROOM,10 TO 12,100.0,MODEL A,1999,96,228000.0,North,11.0
389627,2002,10,SEMBAWANG,4 ROOM,16 TO 18,100.0,MODEL A,1999,96,230000.0,North,17.0
389628,2002,10,SEMBAWANG,4 ROOM,04 TO 06,100.0,MODEL A,1999,96,210000.0,North,5.0
389629,2002,10,SEMBAWANG,4 ROOM,07 TO 09,100.0,MODEL A,1999,96,224000.0,North,8.0
389630,2002,10,SEMBAWANG,4 ROOM,04 TO 06,101.0,MODEL A,1999,96,212000.0,North,5.0
389631,2002,10,SEMBAWANG,4 ROOM,10 TO 12,101.0,MODEL A,1999,96,223000.0,North,11.0
389632,2002,10,SEMBAWANG,4 ROOM,04 TO 06,97.0,MODEL A2,1998,95,221000.0,North,5.0
