year,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1990,01,SERANGOON,3 ROOM,13 TO 15,64.0,IMPROVED,1978,87,32000.0
1990,01,SERANGOON,3 ROOM,10 TO 12,64.0,IMPROVED,1978,87,35000.0
1990,01,SERANGOON,3 ROOM,10 TO 12,60.0,IMPROVED,1985,94,44000.0
1990,01,SERANGOON,3 ROOM,07 TO 09,60.0,IMPROVED,1985,94,44700.0
1990,01,SERANGOON,3 ROOM,04 TO 06,60.0,IMPROVED,1985,94,44500.0
1990,01,SERANGOON,3 ROOM,04 TO 06,71.0,NEW GENERATION,1984,93,59800.0
1990,01,SERANGOON,3 ROOM,04 TO 06,67.0,NEW GENERATION,1985,94,46000.0
1990,01,SERANGOON,3 ROOM,04 TO 06,67.0,NEW GENERATION,1984,93,57000.0
1990,01,SERANGOON,3 ROOM,01 TO 03,75.0,NEW GENERATION,1984,93,45000.0
1990,01,SERANGOON,3 ROOM,01 TO 03,67.0,NEW GENERATION,1984,93,56000.0
1990,01,SERANGOON,3 ROOM,01 TO 03,64.0,SIMPLIFIED,1985,94,48600.0
1990,01,SERANGOON,4 ROOM,01 TO 03,98.0,NEW GENERATION,1978,87,79000.0
1990,01,SERANGOON,4 ROOM,01 TO 03,93.0,NEW GENERATION,1985,94,100000.0
1990,01,SERANGOON,4 ROOM,10 TO 12,111.0,NEW GENERATION,1985,94,80000.0
1990,01,SERANGOON,4 ROOM,10 TO 12,91.0,NEW GENERATION,1985,94,89000.0
1990,01,SERANGOON,4 ROOM,10 TO 12,93.0,NEW GENERATION,1985,94,115000.0
1990,01,SERANGOON,4 ROOM,13 TO 15,92.0,NEW GENERATION,1985,94,105000.0
1990,01,SERANGOON,4 ROOM,04 TO 06,91.0,NEW GENERATION,1985,94,95000.0
1990,01,SERANGOON,5 ROOM,07 TO 09,121.0,IMPROVED,1986,95,140000.0
1990,01,SERANGOON,5 ROOM,07 TO 09,125.0,IMPROVED,1986,95,160000.0
1990,01,SERANGOON,5 ROOM,10 TO 12,121.0,IMPROVED,1986,95,139000.0
1990,01,SERANGOON,5 ROOM,10 TO 12,121.0,IMPROVED,1985,94,160000.0
1990,01,SERANGOON,5 ROOM,07 TO 09,125.0,IMPROVED,1985,94,150000.0
1990,01,SERANGOON,5 ROOM,13 TO 15,123.0,IMPROVED,1985,94,150000.0
1990,01,SERANGOON,5 ROOM,04 TO 06,121.0,IMPROVED,1985,94,155000.0
1990,01,SERANGOON,EXECUTIVE,01 TO 03,148.0,MAISONETTE,1984,93,220000.0
1990,01,SERANGOON,EXECUTIVE,01 TO 03,156.0,MAISONETTE,1984,93,238000.0
1990,02,SERANGOON,3 ROOM,04 TO 06,64.0,IMPROVED,1978,87,38000.0
1990,02,SERANGOON,3 ROOM,01 TO 03,70.0,IMPROVED,1984,93,48000.0
1990,02,SERANGOON,3 ROOM,10 TO 12,60.0,IMPROVED,1985,94,42000.0
1990,02,SERANGOON,3 ROOM,07 TO 09,69.0,IMPROVED,1984,93,52000.0
1990,02,SERANGOON,3 ROOM,04 TO 06,67.0,NEW GENERATION,1985,94,51000.0
1990,02,SERANGOON,3 ROOM,01 TO 03,67.0,NEW GENERATION,1984,93,51000.0
1990,02,SERANGOON,3 ROOM,10 TO 12,67.0,NEW GENERATION,1984,93,60500.0
1990,02,SERANGOON,3 ROOM,07 TO 09,67.0,NEW GENERATION,1984,93,59600.0
1990,02,SERANGOON,4 ROOM,07 TO 09,91.0,NEW GENERATION,1984,93,80000.0
1990,02,SERANGOON,4 ROOM,10 TO 12,91.0,NEW GENERATION,1984,93,77000.0
