iter	Passed	Remaining
0	187	536105
1	268	384834
2	350	334214
3	433	309818
4	513	293884
5	597	284576
6	680	277849
7	761	271919
8	845	268363
9	932	266004
10	1016	263545
11	1099	261416
12	1184	259843
13	1264	257417
14	1339	254431
15	1418	252516
16	1493	250063
17	1573	248712
18	1649	247034
19	1731	246187
20	1807	244716
21	1887	243851
22	1967	242970
23	2045	242031
24	2128	241656
25	2207	240976
26	2282	239870
27	2361	239231
28	2439	238463
29	2522	238246
30	2597	237422
31	2686	237760
32	2766	237347
33	2848	237107
34	2928	236702
35	3009	236407
36	3091	236235
37	3173	236030
38	3254	235730
39	3335	235470
40	3417	235304
41	3497	235022
42	3580	234872
43	3659	234554
44	3746	234698
45	3838	235137
46	3929	235516
47	4024	236085
48	4107	235985
49	4187	235697
50	4268	235424
51	4357	235666
52	4451	236077
53	4545	236510
54	4631	236554
55	4725	236936
56	4808	236820
57	4890	236611
58	4979	236731
59	5064	236696
60	5148	236576
61	5226	236215
62	5306	235942
63	5386	235649
64	5467	235435
65	5543	235001
66	5630	235032
67	5715	235019
68	5798	234895
69	5884	234861
70	5971	234895
71	6054	234792
72	6141	234821
73	6226	234769
74	6313	234778
75	6400	234801
76	6489	234877
77	6570	234678
78	6654	234576
79	6742	234627
80	6827	234592
81	6915	234607
82	6992	234307
83	7078	234250
84	7162	234182
85	7254	234324
86	7340	234316
87	7424	234195
88	7505	234032
89	7585	233812
90	7667	233661
91	7755	233676
92	7840	233617
93	7923	233499
94	8003	233290
95	8083	233082
96	8165	232936
97	8250	232875
98	8333	232735
99	8415	232615
100	8493	232362
101	8574	232177
102	8661	232187
103	8749	232201
104	8827	231946
105	8915	231968
106	8992	231715
107	9075	231593
108	9166	231680
109	9251	231632
110	9338	231609
111	9423	231544
112	9501	231316
113	9580	231112
114	9664	231030
115	9748	230944
116	9833	230871
117	9914	230711
118	9999	230664
119	10078	230463
120	10166	230474
121	10254	230476
122	10337	230365
123	10417	230199
124	10505	230204
125	10584	230010
126	10668	229918
127	10756	229929
128	10835	229719
129	10922	229717
130	11004	229586
131	11088	229504
132	11171	229392
133	11251	229231
134	11333	229105
135	11422	229126
136	11508	229084
137	11595	229044
138	11679	228973
139	11762	228862
140	11849	228836
141	11933	228759
142	12019	228706
143	12104	228641
144	12186	228513
145	12271	228446
146	12359	228448
147	12439	228282
148	12520	228150
149	12606	228097
150	12690	228011
151	12778	227995
152	12859	227864
153	12939	227695
154	13016	227497
155	13104	227481
156	13185	227345
157	13265	227200
158	13347	227083
159	13432	227011
160	13521	227016
161	13609	226989
162	13692	226896
163	13776	226806
164	13864	226784
165	13949	226719
166	14036	226683
167	14119	226590
168	14205	226538
169	14283	226350
170	14364	226213
171	14451	226185
172	14536	226120
173	14621	226040
174	14705	225961
175	14793	225943
176	14880	225898
177	14966	225835
178	15052	225793
179	15137	225712
180	15223	225659
181	15307	225577
182	15393	225523
183	15475	225397
184	15559	225320
185	15636	225134
186	15720	225044
187	15804	224967
188	15889	224886
189	15965	224687
190	16054	224680
191	16141	224629
192	16227	224584
193	16310	224475
194	16412	224635
195	16507	224708
196	16588	224581
197	16675	224527
198	16763	224492
199	16851	224468
200	16930	224312
201	17015	224228
202	17097	224117
203	17186	224095
204	17270	224013
205	17357	223958
206	17448	223965
207	17530	223850
208	17609	223700
209	17698	223676
210	17781	223580
211	17877	223643
212	17968	223632
213	18058	223620
214	18146	223585
215	18236	223560
216	18317	223442
217	18407	223421
218	18496	223391
219	18579	223297
220	18662	223186
221	18745	223084
222	18822	222915
223	18906	222822
224	18991	222751
225	19077	222687
226	19165	222643
227	19248	222544
228	19330	222425
229	19413	222323
230	19506	222339
231	19590	222253
232	19680	222228
233	19768	222185
234	19858	222163
235	19943	222081
236	20028	222007
237	20112	221915
238	20196	221827
239	20284	221772
240	20372	221732
241	20461	221692
242	20549	221642
243	20635	221582
244	20727	221568
245	20817	221542
246	20904	221491
247	20992	221433
248	21079	221382
249	21164	221296
250	21242	221145
251	21326	221055
252	21407	220931
253	21491	220842
254	21574	220732
255	21656	220628
256	21742	220555
257	21826	220465
258	21912	220390
259	21991	220257
260	22077	220185
261	22170	220182
262	22253	220077
263	22336	219982
264	22423	219921
265	22503	219789
266	22588	219713
267	22673	219632
268	22763	219591
269	22852	219551
270	22940	219497
271	23026	219426
272	23114	219374
273	23204	219345
274	23289	219262
275	23375	219183
276	23463	219132
277	23547	219041
278	23627	218910
279	23706	218778
280	23796	218742
281	23884	218684
282	23970	218617
283	24053	218518
284	24140	218446
285	24223	218352
286	24309	218272
287	24397	218220
288	24485	218164
289	24574	218117
290	24663	218074
291	24747	217978
292	24832	217902
293	24927	217907
294	25014	217837
295	25102	217781
296	25190	217719
297	25295	217813
298	25380	217726
299	25486	217826
300	25580	217817
301	25664	217720
302	25751	217653
303	25840	217601
304	25928	217541
305	26013	217462
306	26095	217351
307	26178	217250
308	26271	217227
309	26354	217124
310	26436	217019
311	26514	216877
312	26601	216808
313	26684	216708
314	26775	216669
315	26853	216523
316	26937	216431
317	27021	216345
318	27105	216250
319	27188	216147
320	27275	216078
321	27357	215968
322	27435	215830
323	27520	215748
324	27604	215652
325	27689	215570
326	27774	215489
327	27858	215390
328	27939	215278
329	28025	215202
330	28109	215109
331	28192	215013
332	28280	214946
333	28364	214859
334	28444	214735
335	28526	214627
336	28614	214564
337	28699	214480
338	28785	214406
339	28869	214312
340	28953	214224
341	29038	214135
342	29125	214071
343	29207	213963
344	29295	213903
345	29380	213813
346	29461	213700
347	29542	213585
348	29625	213487
349	29704	213364
350	29787	213266
351	29871	213171
352	29956	213089
353	30042	213013
354	30127	212932
355	30208	212820
356	30290	212710
357	30376	212632
358	30461	212550
359	30544	212452
360	30626	212352
361	30713	212279
362	30796	212182
