iter	RMSE
0	311491.7195
1	276327.8356
2	245391.2599
3	218203.7126
4	194356.4066
5	173395.0584
6	155054.4162
7	139077.1145
8	125112.0378
9	112949.1411
10	102411.4431
11	93284.7408
12	85022.91891
13	78115.99796
14	72214.02206
15	67246.72943
16	62744.28118
17	59145.0666
18	56083.26269
19	53524.39886
20	51130.66837
21	49031.77942
22	47498.26902
23	45969.65595
24	44684.61346
25	43736.57679
26	42993.39162
27	42393.61572
28	41587.16838
29	41076.91169
30	40652.88031
31	40263.82343
32	39765.36964
33	39429.05903
34	39161.47397
35	38976.07866
36	38764.7519
37	38452.79121
38	38252.57784
39	38090.37926
40	37960.62862
41	37789.00419
42	37677.67247
43	37562.55664
44	37349.23711
45	37234.06001
46	37075.11973
47	36982.11946
48	36853.43513
49	36703.52245
50	36554.62221
51	36453.98731
52	36303.82638
53	36166.91437
54	36093.61106
55	36038.06062
56	35983.07521
57	35902.57725
58	35806.21044
59	35643.00204
60	35538.966
61	35426.15999
62	35327.65958
63	35270.81846
64	35165.94051
65	35117.62787
66	35036.70417
67	34977.76693
68	34883.05456
69	34802.60507
70	34758.31862
71	34698.79002
72	34632.06579
73	34554.48303
74	34506.69986
75	34421.93124
76	34319.23579
77	34248.31586
78	34190.46465
79	34156.08566
80	34081.37542
81	34019.09004
82	33979.97255
83	33930.87337
84	33878.3515
85	33812.18558
86	33760.12263
87	33724.33149
88	33678.17934
89	33636.54548
90	33572.59198
91	33510.52081
92	33484.74445
93	33464.62943
94	33417.71247
95	33387.33982
96	33350.68621
97	33280.87941
98	33252.98991
99	33225.32511
100	33175.99206
101	33133.28834
102	33082.15322
103	33046.2191
104	33012.53645
105	32976.32484
106	32932.48865
107	32907.43882
108	32880.84946
109	32860.86545
110	32803.44292
111	32758.86713
112	32730.74267
113	32704.00899
114	32669.04679
115	32627.53876
116	32607.45102
117	32576.66054
118	32559.7406
119	32532.82945
120	32511.84738
121	32488.18106
122	32452.84286
123	32434.24827
124	32412.11071
125	32389.92076
126	32370.94557
127	32356.13052
128	32323.84215
129	32303.42617
130	32287.69206
131	32271.40905
132	32246.4953
133	32224.7493
134	32212.16357
135	32168.99417
136	32141.17806
137	32114.76268
138	32084.10029
139	32070.20098
140	32046.70935
141	32024.14233
142	31990.54853
143	31966.63007
144	31942.60709
145	31925.00174
146	31898.74389
147	31886.38113
148	31855.02334
149	31822.0385
150	31784.49276
151	31767.66161
152	31749.27064
153	31723.06217
154	31704.80204
155	31695.56464
156	31679.15332
157	31654.36583
158	31618.54251
159	31605.34955
160	31582.96135
161	31568.8607
162	31551.838
163	31539.82019
164	31519.70356
165	31494.745
166	31481.81659
167	31462.41263
168	31444.32717
169	31423.31148
170	31402.69325
171	31379.20394
172	31356.76222
173	31336.06175
174	31325.97059
175	31308.60576
176	31290.62939
177	31266.81434
178	31239.78207
179	31224.05919
180	31209.40841
181	31185.04378
182	31173.90519
183	31164.20691
184	31140.91296
185	31121.53432
186	31105.44568
187	31088.23122
188	31072.91408
189	31052.49839
190	31043.42546
191	31024.27822
192	31008.01242
193	30991.53226
194	30978.56486
195	30958.21917
196	30938.72921
197	30912.93971
198	30904.46167
199	30889.04047
200	30880.47847
201	30862.03456
202	30852.00631
203	30843.73927
204	30820.09145
205	30804.08402
206	30794.58203
207	30780.02488
208	30768.77006
209	30755.92717
210	30747.63877
211	30724.66599
212	30711.50294
213	30695.65734
214	30685.73604
215	30667.70449
216	30655.25925
217	30646.3038
218	30635.69821
219	30626.6332
220	30613.4749
221	30601.11638
222	30592.83849
223	30586.11716
224	30575.97399
225	30565.70849
226	30548.58905
227	30540.20778
228	30524.11316
229	30507.67441
230	30501.2912
231	30489.70997
232	30480.43956
233	30466.61402
234	30461.10521
235	30449.41009
236	30438.07514
237	30426.35237
238	30416.17814
239	30404.04722
240	30396.98823
241	30392.54687
242	30380.38806
243	30370.98664
244	30363.22297
245	30349.34009
246	30333.13846
247	30320.40403
248	30306.70342
249	30295.49398
250	30288.96652
251	30274.41156
252	30266.3606
253	30260.28471
254	30248.53435
255	30240.41999
256	30230.28873
257	30219.95412
258	30210.52178
259	30196.17303
260	30190.4168
261	30186.44394
262	30174.52607
263	30165.16771
264	30152.98556
265	30142.44619
266	30134.6117
267	30125.36395
268	30110.54851
269	30092.32571
270	30074.14237
271	30062.94602
272	30050.90464
273	30040.17715
274	30034.83673
275	30026.17323
276	30012.09036
277	30007.51412
278	29996.90419
279	29986.6484
280	29972.07816
281	29963.07036
282	29955.15894
283	29940.73294
284	29932.7359
285	29924.43292
286	29918.60743
287	29910.17482
288	29899.38962
289	29891.99692
290	29882.41321
291	29871.33988
292	29855.29267
293	29847.27464
294	29839.46642
295	29830.96937
296	29820.07797
297	29813.31404
298	29803.26828
299	29795.77352
300	29791.85345
301	29777.05212
302	29766.74438
303	29759.18339
304	29750.91023
305	29744.45929
306	29737.04422
307	29732.29149
308	29721.91309
309	29707.39805
310	29698.92482
311	29691.54306
312	29683.72372
313	29677.11495
314	29667.03301
315	29661.74007
316	29656.72296
317	29646.49493
318	29642.20928
319	29635.54095
320	29626.66149
321	29620.18126
322	29610.73385
323	29606.67337
324	29599.29145
325	29590.57007
326	29585.11416
327	29576.4599
328	29572.06494
329	29566.03722
330	29553.83547
331	29543.2656
332	29535.34201
333	29526.80023
334	29520.38802
335	29511.62711
336	29501.6553
337	29494.95445
338	29487.37063
339	29479.07064
340	29459.89023
341	29452.4579
342	29448.36735
343	29446.04713
344	29434.1737
345	29427.92288
346	29420.98206
347	29413.83525
348	29404.93441
349	29398.24687
350	29395.07882
351	29386.50727
352	29372.09585
353	29368.74135
354	29357.82873
355	29344.0799
356	29335.35575
357	29329.80615
358	29323.29669
359	29316.21279
360	29308.00557
361	29303.08909
362	29297.01942
363	29287.50767
364	29282.67141
365	29272.33538
366	29266.27659
367	29258.4212
368	29255.70238
369	29245.48812
370	29239.70262
371	29235.84632
372	29229.43902
373	29225.35932
374	29218.38583
375	29211.42067
376	29204.45802
377	29196.97083
378	29190.8353
379	29179.30846
380	29172.37742
381	29167.32037
382	29160.73464
383	29153.80063
384	29147.57444
385	29140.95501
386	29136.77272
387	29131.32604
388	29125.244
389	29117.58929
390	29114.31679
391	29108.52428
392	29101.04317
393	29096.55911
394	29090.53516
395	29087.01399
396	29080.26989
397	29074.30979
398	29070.53589
399	29066.50423
400	29053.0518
401	29048.49248
402	29037.41079
403	29033.55293
404	29028.77305
405	29024.25652
406	29019.646
407	29007.96953
408	29000.23383
409	28995.31724
410	28991.19731
411	28988.24267
412	28982.05177
413	28976.24812
414	28972.40819
415	28967.69206
416	28964.14871
417	28960.33489
418	28956.48363
419	28949.56878
420	28944.19856
421	28933.50669
422	28926.6379
423	28921.13779
424	28915.50679
425	28910.98864
426	28906.58379
427	28900.87309
428	28895.66697
429	28889.31243
430	28885.16174
431	28879.62971
432	28876.54985
433	28871.82747
434	28866.71999
435	28862.43672
436	28856.85238
437	28849.37771
438	28839.81754
439	28834.01533
440	28828.07683
441	28823.76754
442	28820.27437
443	28813.7477
444	28807.6461
445	28802.1678
446	28796.4518
447	28793.16553
448	28789.4283
449	28785.3207
450	28780.74423
451	28778.39426
452	28775.04437
