iter	RMSE
0	10.25981206
1	9.558599851
2	8.991120371
3	8.482978325
4	8.05445149
5	7.709582237
6	7.420810059
7	7.156703925
8	6.937736164
9	6.751269692
10	6.590750397
11	6.457145497
12	6.333053741
13	6.229709492
14	6.138090207
15	6.057316911
16	5.987659528
17	5.930543198
18	5.867689678
19	5.822209615
20	5.778502473
21	5.738267293
22	5.702217069
23	5.668993047
24	5.640162062
25	5.604244358
26	5.582140981
27	5.555897423
28	5.52950164
29	5.507332436
30	5.483244262
31	5.464090641
32	5.440587869
33	5.423894318
34	5.409444951
35	5.388445361
36	5.366567387
37	5.354160572
38	5.336294038
39	5.316505673
40	5.293092678
41	5.278690576
42	5.264856752
43	5.242899249
44	5.228584219
45	5.21731593
46	5.207635902
47	5.192349578
48	5.172759389
49	5.161027976
50	5.152168575
51	5.138658403
52	5.127919656
53	5.118808149
54	5.104953642
55	5.095926511
56	5.080507483
57	5.067327895
58	5.059310097
59	5.048266163
60	5.038408839
61	5.027943799
62	5.012596036
63	5.002399071
64	4.994242854
65	4.987880631
66	4.978385958
67	4.970227428
68	4.958947827
69	4.947632021
70	4.941796518
71	4.934293608
72	4.927230309
73	4.920318654
74	4.911387617
75	4.901962343
76	4.893634103
77	4.886180339
78	4.87890405
79	4.869148831
80	4.864686551
81	4.860693273
82	4.851879862
83	4.845407191
84	4.83883153
85	4.833161663
86	4.826905585
87	4.819519714
88	4.810963943
89	4.805617901
90	4.800068017
91	4.793430701
92	4.788912567
93	4.785233119
94	4.778950076
95	4.773129949
96	4.769102109
97	4.764044904
98	4.759660682
99	4.754184685
100	4.750972044
101	4.743874844
102	4.740163425
103	4.734178622
104	4.729398065
105	4.723196006
106	4.719457914
107	4.716186272
108	4.712214238
109	4.708238522
110	4.702955123
111	4.699737132
112	4.697207476
113	4.692002996
114	4.686242237
115	4.682181251
116	4.678625609
117	4.674328542
118	4.671236396
119	4.666393662
120	4.662024347
121	4.658218595
122	4.655690667
123	4.6537968
124	4.651564
125	4.6446417
126	4.642342106
127	4.636523157
128	4.631913721
129	4.627493396
130	4.625101521
131	4.621561392
132	4.618673801
133	4.616137181
134	4.612681088
135	4.608383569
136	4.605527027
137	4.601155193
138	4.5984263
139	4.595211613
140	4.592881215
141	4.591475309
142	4.588452595
143	4.585723065
144	4.583049568
145	4.57922074
146	4.576688466
147	4.573750448
148	4.56945219
149	4.568013167
150	4.565635649
151	4.563242004
152	4.560391904
153	4.557156916
154	4.553777876
155	4.549979729
156	4.547611856
157	4.544703538
158	4.542847552
159	4.540695606
160	4.539209702
161	4.53757852
162	4.533194307
163	4.531180179
164	4.529302128
165	4.526414548
166	4.524631038
167	4.523314243
168	4.522003185
169	4.520035944
170	4.515966599
171	4.513537899
172	4.512099924
173	4.50893679
174	4.506846308
175	4.504293257
176	4.501993218
177	4.499030668
178	4.495879358
179	4.493037598
180	4.49038783
181	4.487294294
182	4.4860228
183	4.484173996
184	4.482274918
185	4.479951367
186	4.478634823
187	4.476830889
188	4.473740123
189	4.471701447
190	4.469117969
191	4.467204183
192	4.464809516
193	4.462285055
194	4.461165963
195	4.459646973
196	4.45803772
197	4.45537227
198	4.454034381
199	4.451689316
200	4.448354207
201	4.444658407
202	4.442765277
203	4.440359403
204	4.439092944
205	4.4378723
206	4.436218771
207	4.433044387
208	4.431159929
209	4.429212178
210	4.427813375
211	4.424633543
212	4.422627086
213	4.421472491
214	4.420196745
215	4.418823113
216	4.417391454
217	4.41540834
218	4.413894849
219	4.412756783
220	4.410716366
221	4.409823521
222	4.407880617
223	4.405180049
224	4.40365726
225	4.401829774
226	4.399266461
227	4.397622444
228	4.396190855
229	4.394554426
230	4.393756524
231	4.391978742
232	4.390935764
233	4.389396053
234	4.387682296
235	4.38652387
236	4.383983623
237	4.382925896
238	4.381309584
239	4.37945052
240	4.377128159
241	4.375217042
242	4.37384866
243	4.372749334
244	4.371150001
245	4.370040413
246	4.36924417
247	4.368356255
248	4.36715147
249	4.366574673
250	4.365380518
251	4.363662532
252	4.360431712
253	4.358027613
254	4.356038078
255	4.355123272
256	4.353728378
257	4.351779232
258	4.350221873
259	4.349189152
260	4.347963981
261	4.346470173
262	4.34586628
263	4.344752644
264	4.342853411
265	4.342069438
266	4.340912539
267	4.340334304
268	4.338656667
269	4.337498827
270	4.336034501
271	4.334889416
272	4.333508561
273	4.331921306
274	4.331145349
275	4.32953485
276	4.327820042
277	4.326885041
278	4.325821438
279	4.323137809
280	4.322124546
281	4.321131079
282	4.320022076
283	4.319523714
284	4.318873087
285	4.317523101
286	4.31683576
287	4.316340361
288	4.315293274
289	4.314736205
290	4.313945426
291	4.312996517
292	4.312047755
293	4.311268721
294	4.310652935
295	4.308848919
296	4.307794903
297	4.306832489
298	4.30557702
299	4.304868644
300	4.304265613
301	4.302577377
302	4.301637582
303	4.300860889
304	4.299464524
305	4.298343513
306	4.296594916
307	4.295006339
308	4.294175767
309	4.293304144
310	4.292714862
311	4.291709602
312	4.290560055
313	4.289881634
314	4.289471869
315	4.288252549
316	4.287353196
317	4.286831604
318	4.285786994
319	4.284744278
320	4.283539157
321	4.282862653
322	4.281550061
323	4.280862839
324	4.279970624
325	4.279083136
326	4.278201515
327	4.276920524
328	4.274778973
329	4.273959123
330	4.273440055
331	4.272382762
332	4.271398942
333	4.270197197
334	4.269454341
335	4.268647991
336	4.26789339
337	4.267335453
338	4.266031551
339	4.265187682
340	4.264341033
341	4.263550869
342	4.262793101
343	4.261763893
344	4.260973061
345	4.260479729
346	4.259909931
347	4.259282558
348	4.258013779
349	4.257383614
350	4.256123955
351	4.255466186
352	4.254542647
353	4.253777604
354	4.25289026
355	4.252313406
356	4.251924013
357	4.251034301
358	4.250573869
359	4.249562232
360	4.248450926
361	4.245960707
362	4.244652201
363	4.244137581
364	4.243659833
365	4.243169595
366	4.242694252
367	4.240855997
368	4.240129643
369	4.239241893
370	4.237968294
371	4.23696261
372	4.236166199
373	4.235579399
374	4.234762105
375	4.233714414
376	4.232520193
377	4.231654662
378	4.231132244
379	4.22936745
380	4.228639558
381	4.227663056
382	4.227001727
383	4.225751735
384	4.225144512
385	4.224435146
386	4.223950472
387	4.223412997
388	4.222582239
389	4.221464546
390	4.220727611
391	4.219695996
392	4.219110536
393	4.218651854
394	4.217490675
395	4.216561216
396	4.215746316
397	4.21502115
398	4.214612071
399	4.214121468
400	4.213564676
401	4.212829102
402	4.212151939
403	4.211477338
404	4.210945283
405	4.210416771
406	4.208678411
407	4.207787407
408	4.206031232
409	4.205531439
410	4.204525768
411	4.203782576
412	4.202923321
413	4.202468461
414	4.201763298
415	4.200928197
416	4.200260154
417	4.199075304
418	4.198627972
419	4.197987033
420	4.196967057
421	4.196123809
422	4.195756403
423	4.195269037
424	4.194904279
425	4.194418484
426	4.193971485
427	4.193336095
428	4.192118516
429	4.191638899
430	4.191391419
431	4.190735492
432	4.190219743
433	4.189191749
434	4.188071965
435	4.187290986
436	4.186032225
437	4.185674
438	4.184767653
439	4.18435035
440	4.184082546
441	4.183681113
442	4.183352623
443	4.182965452
444	4.18191986
445	4.181436922
446	4.181117436
447	4.180525776
448	4.179523466
449	4.178604361
450	4.177451983
451	4.176243233
452	4.175669777
453	4.175072857
454	4.17383796
455	4.173383659
456	4.172701282
457	4.171728804
458	4.171325105
459	4.170009556
460	4.168851015
461	4.168236044
462	4.167346574
463	4.16664475
464	4.165654519
465	4.165272467
466	4.164123931
467	4.163167669
468	4.162455344
469	4.161013382
470	4.16075303
471	4.160323105
472	4.159844933
473	4.159455439
474	4.158611035
475	4.158126119
476	4.157541764
477	4.157175178
478	4.156674811
479	4.156208024
480	4.155408057
481	4.154681132
482	4.15439783
483	4.153177115
484	4.152652459
485	4.151744322
486	4.151015127
487	4.150633639
488	4.150018568
489	4.149543322
490	4.149217291
491	4.148787447
492	4.147918275
493	4.147206171
494	4.145714917
495	4.144795077
496	4.144356779
497	4.143786946
498	4.142798612
499	4.142377243
500	4.141937758
501	4.141720978
502	4.140946634
503	4.140595373
504	4.140100641
505	4.139671635
506	4.139312411
507	4.138521803
508	4.13788252
509	4.137208623
510	4.136902354
511	4.136381838
512	4.135861924
513	4.13542954
514	4.13449342
515	4.133942073
516	4.133417619
517	4.132886223
518	4.132366907
519	4.131564592
520	4.13087805
521	4.130399425
522	4.129721733
523	4.129333677
524	4.128785992
525	4.128290362
526	4.127979487
527	4.127190086
528	4.126354772
529	4.125945395
530	4.125716312
531	4.125188741
532	4.1246653
533	4.124310889
534	4.123912868
535	4.122718579
536	4.122306368
537	4.121760193
538	4.121398184
539	4.120941444
540	4.1197347
541	4.119304656
542	4.119023062
543	4.118608937
544	4.117538494
545	4.117367501
546	4.116905622
547	4.116109736
548	4.115615292
549	4.114797344
550	4.114539921
551	4.113962081
552	4.113747799
553	4.112875324
554	4.112565358
555	4.112267692
556	4.111792433
557	4.111178551
558	4.109898599
559	4.109456924
560	4.10883609
561	4.108428923
562	4.108174402
563	4.107864136
564	4.107506522
565	4.106833959
566	4.106593843
567	4.105585024
568	4.104897712
569	4.104537452
570	4.103810561
571	4.10337473
572	4.103068381
573	4.102196776
574	4.102059235
575	4.101494454
576	4.101292024
577	4.101019387
578	4.10063124
579	4.100046933
580	4.099678749
581	4.098991738
582	4.098498987
583	4.098153797
584	4.097926078
585	4.09752726
586	4.09722333
587	4.096391208
588	4.095944477
589	4.095390834
590	4.094641303
591	4.093623889
592	4.093240093
593	4.092923361
594	4.092487827
595	4.091731971
596	4.091467467
597	4.091129776
598	4.090461043
599	4.090249207
600	4.089929241
601	4.089483515
602	4.089025494
603	4.088351406
604	4.087927679
605	4.087599864
606	4.087044093
607	4.086634768
608	4.0863081
609	4.08583574
610	4.085403685
611	4.084867731
612	4.084528676
613	4.084048579
614	4.083652036
615	4.082715494
616	4.082403296
617	4.081764259
618	4.081432534
619	4.080865804
620	4.080427275
621	4.079795342
622	4.079320492
623	4.078823789
624	4.078523655
625	4.078024711
626	4.077621585
627	4.077026578
628	4.076854131
629	4.07650556
630	4.076295673
631	4.075985065
632	4.075690301
633	4.074933667
634	4.074581443
635	4.074076461
636	4.073653759
637	4.073018031
638	4.07210046
639	4.071670675
640	4.071163264
641	4.070863441
642	4.069498767
643	4.069014454
644	4.068609253
645	4.068434128
646	4.068112839
647	4.067248923
648	4.066561588
649	4.065960125
650	4.065454398
651	4.064771131
