iter	Passed	Remaining
0	200	572661
1	383	549011
2	563	537847
3	746	534007
4	928	530780
5	1098	523123
6	1272	519344
7	1443	515441
8	1622	514730
9	1815	518096
10	1997	518115
11	2167	515163
12	2357	517050
13	2547	518533
14	2663	505938
15	2768	492849
16	2872	481124
17	2979	471128
18	3085	462058
19	3204	455694
20	3317	449133
21	3427	442717
22	3538	437084
23	3645	431398
24	3753	426237
25	3856	420950
26	3961	416220
27	4068	412113
28	4173	407974
29	4274	403759
30	4376	399942
31	4487	397100
32	4590	393823
33	4695	390793
34	4800	387991
35	4909	385655
36	5018	383415
37	5127	381317
38	5255	380656
39	5364	378758
40	5471	376751
41	5584	375208
42	5690	373347
43	5792	371252
44	5903	369818
45	6021	368896
46	6128	367301
47	6236	365863
48	6336	364006
49	6444	362721
50	6554	361526
51	6663	360360
52	6763	358720
53	6868	357424
54	6971	356043
55	7075	354773
56	7174	353320
57	7283	352369
58	7392	351464
59	7505	350744
60	7610	349718
61	7723	349052
62	7831	348200
63	7934	347128
64	8032	345901
65	8135	344878
66	8233	343705
67	8334	342713
68	8427	341357
69	8521	340138
70	8618	339036
71	8720	338154
72	8822	337299
73	8921	336360
74	9022	335505
75	9127	334827
76	9227	334003
77	9334	333415
78	9434	332604
79	9533	331759
80	9640	331230
81	9754	330937
82	9857	330297
83	9960	329648
84	10067	329146
85	10177	328741
86	10274	327944
87	10376	327340
88	10480	326783
89	10588	326370
90	10691	325800
91	10805	325582
92	10910	325097
93	11018	324696
94	11125	324283
95	11225	323666
96	11326	323110
97	11427	322527
98	11530	322049
99	11630	321457
100	11733	320993
101	11835	320497
102	11942	320121
103	12042	319577
104	12145	319141
105	12247	318677
106	12349	318190
107	12459	317935
108	12567	317646
109	12681	317494
110	12783	317052
111	12887	316662
112	12992	316305
113	13096	315925
114	13199	315517
115	13304	315184
116	13400	314622
117	13502	314221
118	13613	314023
119	13720	313746
120	13820	313305
121	13926	312995
122	14024	312538
123	14137	312394
124	14245	312138
125	14346	311751
126	14454	311507
127	14559	311209
128	14664	310900
129	14769	310623
130	14877	310393
131	14981	310061
132	15087	309803
133	15202	309720
134	15311	309526
135	15420	309315
136	15533	309197
137	15635	308866
138	15745	308684
139	15849	308381
140	15954	308108
141	16068	308014
142	16175	307788
143	16283	307577
144	16403	307586
145	16518	307508
146	16632	307421
147	16739	307184
148	16845	306946
149	16956	306807
150	17065	306617
151	17173	306408
152	17280	306189
153	17391	306050
154	17514	306110
155	17625	305959
156	17729	305698
157	17839	305528
158	17946	305309
159	18063	305274
160	18181	305242
161	18292	305093
162	18402	304944
163	18514	304818
164	18630	304741
165	18744	304658
166	18854	304495
167	18968	304393
168	19079	304255
169	19195	304191
170	19312	304138
171	19433	304157
172	19541	303967
173	19660	303941
174	19774	303856
175	19883	303680
176	19996	303562
177	20108	303440
178	20226	303392
179	20345	303371
180	20456	303224
181	20568	303100
182	20678	302950
183	20793	302868
184	20907	302763
185	21015	302584
186	21133	302532
187	21247	302440
188	21365	302399
189	21470	302172
190	21579	302005
191	21693	301908
192	21808	301819
193	21907	301511
194	22006	301212
195	22106	300917
196	22209	300680
197	22315	300464
198	22417	300209
199	22520	299974
200	22624	299741
201	22726	299494
202	22829	299264
203	22929	298987
204	23035	298781
205	23132	298479
206	23238	298280
207	23336	297989
208	23438	297752
209	23543	297541
210	23641	297250
211	23746	297052
212	23848	296813
213	23959	296700
214	24064	296491
215	24179	296420
216	24294	296344
217	24406	296240
218	24525	296205
219	24640	296132
220	24760	296115
221	24869	295966
222	24985	295908
223	25105	295884
224	25216	295757
225	25333	295712
226	25447	295617
227	25554	295445
228	25668	295354
229	25774	295176
230	25882	295021
231	25994	294904
232	26098	294703
233	26215	294641
234	26330	294570
235	26445	294486
236	26557	294369
237	26676	294338
238	26788	294230
239	26900	294113
240	27017	294051
241	27123	293874
242	27239	293802
243	27347	293646
244	27465	293598
245	27577	293483
246	27685	293336
247	27807	293324
248	27911	293130
249	28027	293052
250	28135	292901
251	28249	292811
252	28358	292665
253	28464	292489
254	28562	292229
255	28670	292079
256	28781	291956
257	28883	291747
258	28998	291662
259	29098	291429
260	29213	291347
261	29328	291269
262	29439	291145
263	29548	291011
264	29658	290879
265	29768	290742
266	29880	290638
267	29997	290568
268	30111	290483
269	30221	290353
270	30335	290261
271	30450	290171
272	30558	290030
273	30671	289922
274	30785	289835
275	30892	289675
276	31003	289552
277	31115	289438
278	31223	289295
279	31335	289182
280	31443	289032
281	31555	288924
282	31660	288744
283	31767	288591
284	31883	288515
285	31994	288400
286	32105	288274
287	32211	288114
288	32334	288097
289	32447	288003
290	32556	287860
291	32670	287771
292	32785	287684
293	32897	287571
294	33012	287484
295	33122	287356
296	33236	287265
297	33342	287103
298	33447	286931
299	33555	286790
300	33668	286689
301	33775	286529
302	33886	286414
303	33998	286307
304	34113	286218
305	34239	286226
306	34346	286072
307	34456	285944
308	34569	285837
309	34683	285744
310	34796	285641
311	34897	285447
312	35009	285331
313	35115	285174
314	35224	285041
315	35323	284827
316	35430	284672
317	35543	284570
318	35649	284416
319	35758	284281
320	35872	284183
321	35982	284056
322	36092	283937
323	36197	283767
324	36304	283618
325	36422	283560
326	36529	283409
327	36638	283274
328	36736	283063
329	36844	282924
330	36951	282770
331	37056	282611
332	37164	282469
333	37265	282276
334	37372	282137
335	37480	281995
336	37593	281894
337	37702	281765
338	37811	281634
339	37919	281495
340	38025	281345
341	38134	281213
342	38241	281070
343	38349	280933
344	38455	280777
345	38557	280599
346	38660	280425
347	38775	280340
348	38884	280215
349	38996	280104
350	39105	279974
351	39218	279880
352	39329	279759
353	39437	279626
354	39546	279495
355	39653	279359
356	39771	279291
357	39881	279167
358	39987	279020
359	40086	278822
360	40193	278679
361	40305	278577
362	40417	278468
363	40526	278339
364	40634	278203
365	40734	278018
366	40842	277887
367	40949	277746
368	41053	277584
369	41156	277417
370	41261	277262
371	41371	277142
372	41476	276991
373	41580	276832
374	41686	276685
375	41787	276506
376	41889	276336
377	41993	276176
378	42098	276025
379	42205	275889
380	42311	275744
381	42412	275568
382	42516	275412
383	42620	275256
384	42730	275136
385	42830	274958
386	42935	274810
387	43039	274653
388	43149	274539
389	43257	274408
390	43374	274334
391	43492	274269
392	43601	274143
393	43709	274018
394	43816	273883
395	43921	273734
396	44027	273590
397	44132	273441
398	44229	273248
399	44340	273136
400	44448	273007
401	44545	272815
402	44652	272677
403	44763	272571
404	44873	272454
405	44984	272342
406	45101	272270
407	45206	272128
408	45319	272028
409	45434	271944
410	45543	271821
411	45653	271704
412	45761	271575
413	45877	271499
414	45987	271379
415	46101	271289
416	46221	271232
417	46331	271116
418	46445	271027
419	46557	270919
420	46662	270773
421	46768	270636
422	46870	270477
423	46977	270342
424	47087	270224
425	47197	270110
426	47306	269990
427	47415	269867
428	47525	269754
429	47632	269624
430	47737	269480
431	47845	269350
432	47953	269225
433	48066	269126
434	48165	268952
435	48276	268841
436	48375	268668
437	48475	268499
438	48577	268338
439	48685	268211
440	48793	268084
441	48906	267989
442	49015	267870
443	49125	267754
444	49234	267637
445	49343	267515
446	49454	267408
447	49560	267271
448	49661	267109
449	49759	266932
450	49864	266791
451	49974	266677
452	50075	266518
453	50185	266402
454	50286	266239
455	50388	266088
456	50498	265971
457	50610	265870
458	50716	265735
459	50823	265609
460	50931	265486
461	51038	265354
462	51141	265206
463	51246	265069
464	51355	264948
465	51464	264834
466	51570	264698
467	51680	264584
468	51782	264433
469	51889	264305
470	51997	264181
471	52100	264034
472	52207	263908
473	52314	263779
474	52426	263677
475	52531	263540
476	52653	263490
477	52764	263378
478	52874	263266
479	52989	263180
480	53093	263040
481	53200	262912
482	53311	262804
483	53415	262660
484	53521	262529
485	53629	262407
486	53734	262271
487	53842	262151
488	53948	262018
489	54055	261894
490	54162	261765
491	54265	261620
492	54376	261513
493	54486	261404
494	54596	261292
495	54707	261182
496	54820	261087
497	54940	261022
498	55048	260900
499	55154	260771
500	55258	260632
501	55358	260471
502	55467	260357
503	55574	260231
504	55681	260105
505	55782	259950
506	55884	259804
507	55982	259636
508	56087	259499
509	56192	259367
510	56298	259238
511	56404	259108
512	56503	258947
513	56609	258818
514	56717	258697
515	56835	258622
516	56953	258547
517	57066	258451
518	57169	258307
519	57280	258204
520	57394	258108
521	57505	258005
522	57630	257960
523	57748	257882
524	57857	257769
525	57962	257636
526	58074	257531
527	58181	257408
528	58297	257322
529	58407	257211
530	58519	257110
531	58624	256978
532	58733	256863
533	58845	256759
534	58958	256660
535	59075	256579
536	59196	256517
537	59305	256403
538	59415	256292
539	59532	256208
540	59640	256092
541	59749	255975
542	59855	255845
543	59968	255749
544	60077	255631
545	60194	255550
546	60306	255450
547	60413	255322
548	60525	255223
549	60632	255098
550	60745	254998
551	60847	254852
552	60956	254739
553	61067	254629
554	61176	254517
555	61281	254383
556	61388	254259
557	61506	254183
558	61616	254070
559	61720	253936
560	61826	253810
561	61933	253683
562	62040	253562
563	62139	253406
564	62241	253263
565	62341	253109
566	62448	252986
567	62549	252842
568	62649	252689
569	62755	252563
570	62864	252448
571	62970	252322
572	63067	252160
573	63175	252042
574	63285	251929
575	63380	251762
576	63487	251639
577	63596	251525
578	63702	251400
579	63808	251271
580	63912	251140
581	64022	251028
582	64123	250884
583	64226	250748
584	64327	250601
585	64430	250464
586	64539	250353
587	64644	250220
588	64754	250111
589	64863	249999
590	64975	249898
591	65081	249772
592	65185	249639
593	65290	249511
594	65395	249381
595	65491	249220
596	65597	249096
597	65702	248964
598	65803	248824
599	65913	248714
600	66020	248592
601	66125	248465
602	66221	248302
603	66321	248157
604	66422	248013
605	66530	247895
606	66628	247742
607	66736	247625
608	66835	247478
609	66947	247374
610	67069	247310
611	67174	247184
612	67281	247064
613	67387	246942
614	67489	246804
615	67593	246673
616	67696	246539
617	67801	246410
618	67905	246280
619	68005	246136
620	68112	246016
621	68218	245892
622	68322	245762
623	68421	245614
624	68528	245495
625	68630	245359
626	68730	245215
627	68830	245070
628	68935	244944
629	69042	244825
630	69148	244704
631	69252	244573
632	69349	244420
633	69444	244262
634	69551	244141
635	69671	244068
636	69820	244098
637	69942	244029
638	70079	244017
639	70208	243975
640	70327	243897
641	70448	243826
642	70564	243737
643	70676	243634
644	70789	243538
645	70908	243458
646	71028	243384
647	71165	243367
648	71283	243286
649	71418	243263
650	71528	243152
651	71652	243091
652	71762	242981
653	71867	242854
654	71966	242708
655	72077	242601
656	72189	242499
657	72297	242383
658	72405	242267
659	72509	242136
660	72611	242002
661	72715	241872
662	72818	241741
663	72920	241603
664	73028	241487
665	73130	241353
666	73237	241234
667	73343	241111
668	73447	240982
669	73545	240833
670	73648	240703
671	73754	240579
672	73858	240450
673	73957	240307
674	74059	240172
675	74166	240052
676	74272	239932
677	74380	239816
678	74487	239696
679	74594	239579
680	74700	239459
681	74813	239360
682	74917	239231
683	75028	239125
684	75135	239007
685	75241	238887
686	75347	238763
687	75457	238657
688	75569	238554
689	75680	238448
690	75793	238349
691	75897	238221
692	75996	238078
693	76102	237957
694	76212	237848
695	76318	237727
696	76424	237608
697	76529	237483
698	76631	237348
699	76740	237237
700	76860	237159
701	76976	237069
702	77092	236979
703	77203	236872
704	77315	236772
705	77436	236697
706	77545	236584
707	77655	236476
708	77763	236360
709	77873	236252
710	77986	236152
711	78098	236051
712	78207	235937
713	78317	235831
714	78426	235719
715	78527	235582
716	78642	235488
717	78744	235357
718	78855	235250
719	78964	235139
720	79074	235030
721	79181	234912
722	79296	234819
723	79403	234701
724	79510	234583
725	79619	234472
726	79729	234362
727	79837	234248
728	79945	234132
729	80056	234027
730	80163	233911
731	80267	233783
732	80370	233654
733	80487	233566
734	80597	233458
735	80702	233334
736	80810	233220
737	80922	233118
738	81037	233023
739	81142	232900
740	81251	232790
741	81357	232667
742	81470	232568
743	81586	232477
744	81699	232378
745	81813	232281
746	81929	232187
747	82034	232064
748	82145	231960
749	82253	231845
750	82362	231732
751	82464	231603
752	82568	231478
753	82671	231347
754	82797	231285
755	82906	231173
756	83016	231064
757	83122	230943
758	83229	230828
759	83341	230723
760	83449	230611
761	83551	230479
762	83650	230340
763	83756	230219
764	83862	230101
765	83968	229980
766	84067	229843
767	84177	229733
768	84291	229635
769	84401	229528
770	84506	229405
771	84614	229292
772	84721	229175
773	84829	229061
774	84940	228956
775	85047	228840
776	85156	228727
777	85266	228619
778	85373	228503
779	85483	228394
780	85586	228267
781	85689	228139
782	85793	228016
783	85892	227879
784	85999	227761
785	86104	227640
786	86208	227516
787	86308	227381
788	86417	227270
789	86530	227170
790	86657	227107
791	86779	227029
792	86888	226917
793	87004	226825
794	87115	226718
795	87229	226622
796	87347	226532
797	87468	226452
798	87584	226361
799	87703	226275
800	87825	226197
801	87950	226127
802	88069	226042
803	88180	225935
804	88290	225825
805	88400	225717
806	88505	225595
807	88602	225453
808	88703	225322
809	88802	225186
810	88905	225058
811	89005	224926
812	89103	224786
813	89200	224646
814	89302	224516
815	89407	224395
816	89515	224281
817	89620	224161
818	89715	224014
819	89816	223884
820	89925	223773
821	90031	223654
822	90130	223519
823	90234	223396
824	90333	223261
825	90427	223113
826	90530	222987
827	90628	222849
