[I 2025-01-04 20:56:52,661] A new study created in memory with name: no-name-5de5c7c5-cdf0-483c-b495-720f4a8e258b
[I 2025-01-04 20:57:28,765] Trial 0 finished with value: 1197987966.308119 and parameters: {'n_estimators': 200, 'max_depth': 23, 'min_samples_split': 10, 'max_samples': 0.8815632256049019, 'ccp_alpha': 0.0005253974050677141}. Best is trial 0 with value: 1197987966.308119.
[I 2025-01-04 20:57:55,266] Trial 1 finished with value: 1662744413.9254467 and parameters: {'n_estimators': 197, 'max_depth': 15, 'min_samples_split': 9, 'max_samples': 0.8509543837940341, 'ccp_alpha': 0.0006308791522653988}. Best is trial 0 with value: 1197987966.308119.
[I 2025-01-04 20:58:27,025] Trial 2 finished with value: 1317236290.9430952 and parameters: {'n_estimators': 203, 'max_depth': 18, 'min_samples_split': 7, 'max_samples': 0.8384930446258082, 'ccp_alpha': 0.0008545146072724527}. Best is trial 0 with value: 1197987966.308119.
[I 2025-01-04 20:59:04,867] Trial 3 finished with value: 1188041276.8550527 and parameters: {'n_estimators': 196, 'max_depth': 28, 'min_samples_split': 8, 'max_samples': 0.7633891251875641, 'ccp_alpha': 0.0005515738835816376}. Best is trial 3 with value: 1188041276.8550527.
[I 2025-01-04 20:59:43,777] Trial 4 finished with value: 1191207463.4897804 and parameters: {'n_estimators': 207, 'max_depth': 29, 'min_samples_split': 10, 'max_samples': 0.8645279355627321, 'ccp_alpha': 0.0007451649098035985}. Best is trial 3 with value: 1188041276.8550527.
[I 2025-01-04 21:00:21,535] Trial 5 finished with value: 1182170317.5648794 and parameters: {'n_estimators': 197, 'max_depth': 23, 'min_samples_split': 5, 'max_samples': 0.7718509103995057, 'ccp_alpha': 0.0007140949009957612}. Best is trial 5 with value: 1182170317.5648794.
[I 2025-01-04 21:00:48,895] Trial 6 finished with value: 1655928980.1798494 and parameters: {'n_estimators': 203, 'max_depth': 15, 'min_samples_split': 5, 'max_samples': 0.8629261502081388, 'ccp_alpha': 0.000940745235948465}. Best is trial 5 with value: 1182170317.5648794.
[I 2025-01-04 21:01:16,109] Trial 7 finished with value: 1682542958.473323 and parameters: {'n_estimators': 191, 'max_depth': 15, 'min_samples_split': 9, 'max_samples': 0.7547531654152907, 'ccp_alpha': 0.0019336388718571745}. Best is trial 5 with value: 1182170317.5648794.
[I 2025-01-04 21:01:52,706] Trial 8 finished with value: 1207653409.7794821 and parameters: {'n_estimators': 192, 'max_depth': 21, 'min_samples_split': 6, 'max_samples': 0.7204744255749571, 'ccp_alpha': 0.0018458876192658778}. Best is trial 5 with value: 1182170317.5648794.
[I 2025-01-04 21:02:23,928] Trial 9 finished with value: 1529244923.6050203 and parameters: {'n_estimators': 207, 'max_depth': 16, 'min_samples_split': 10, 'max_samples': 0.7244696552573193, 'ccp_alpha': 0.0016158320128526185}. Best is trial 5 with value: 1182170317.5648794.
[I 2025-01-04 21:03:07,266] Trial 10 finished with value: 1180998149.0428085 and parameters: {'n_estimators': 195, 'max_depth': 25, 'min_samples_split': 5, 'max_samples': 0.7929873247899253, 'ccp_alpha': 0.0012300174978412837}. Best is trial 10 with value: 1180998149.0428085.
[I 2025-01-04 21:03:50,431] Trial 11 finished with value: 1182859354.4289553 and parameters: {'n_estimators': 195, 'max_depth': 25, 'min_samples_split': 5, 'max_samples': 0.7986329681736041, 'ccp_alpha': 0.00131727067705167}. Best is trial 10 with value: 1180998149.0428085.
[I 2025-01-04 21:04:34,363] Trial 12 finished with value: 1182404281.528545 and parameters: {'n_estimators': 200, 'max_depth': 26, 'min_samples_split': 6, 'max_samples': 0.8025723559713871, 'ccp_alpha': 0.0011807334341181002}. Best is trial 10 with value: 1180998149.0428085.
