[I 2025-01-07 22:58:24,224] A new study created in memory with name: no-name-4be0baf1-c763-4b00-a952-69c3c18b807b
[I 2025-01-07 23:02:24,880] Trial 0 finished with value: 37413.920796891754 and parameters: {'iterations': 2477, 'depth': 4, 'learning_rate': 0.01777012961311592, 'l2_leaf_reg': 1.4544031106023256, 'bagging_temperature': 0.5783315265045764, 'random_strength': 1.1404026206344768, 'border_count': 55, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 5, 'one_hot_max_size': 5}. Best is trial 0 with value: 37413.920796891754.
[I 2025-01-07 23:06:29,514] Trial 1 finished with value: 37861.94596352051 and parameters: {'iterations': 2540, 'depth': 4, 'learning_rate': 0.014187511611509213, 'l2_leaf_reg': 6.6694931595789475, 'bagging_temperature': 0.010712068170284805, 'random_strength': 1.1030655427290597, 'border_count': 139, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 5, 'one_hot_max_size': 3}. Best is trial 0 with value: 37413.920796891754.
[I 2025-01-07 23:18:03,372] Trial 2 finished with value: 28027.538142099846 and parameters: {'iterations': 2757, 'depth': 12, 'learning_rate': 0.08543541415731995, 'l2_leaf_reg': 0.008640941295352452, 'bagging_temperature': 0.8112945888230036, 'random_strength': 0.04119122805678246, 'border_count': 250, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 4, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-07 23:22:16,208] Trial 3 finished with value: 32558.13886008356 and parameters: {'iterations': 1668, 'depth': 8, 'learning_rate': 0.02022388242832138, 'l2_leaf_reg': 0.006381068114586802, 'bagging_temperature': 0.7350691745274436, 'random_strength': 0.006040568364401681, 'border_count': 216, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 28, 'one_hot_max_size': 9}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-07 23:26:05,908] Trial 4 finished with value: 30819.730992586505 and parameters: {'iterations': 949, 'depth': 8, 'learning_rate': 0.0652461179590173, 'l2_leaf_reg': 0.022736057893202946, 'bagging_temperature': 0.6701945768879501, 'random_strength': 0.04466690644189126, 'border_count': 190, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 24, 'one_hot_max_size': 7}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-07 23:34:14,837] Trial 5 finished with value: 34678.589564961956 and parameters: {'iterations': 1952, 'depth': 5, 'learning_rate': 0.010998005275072338, 'l2_leaf_reg': 0.4329175167195166, 'bagging_temperature': 0.9985494934807231, 'random_strength': 0.0025461854391293703, 'border_count': 168, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 18, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-07 23:47:24,005] Trial 6 finished with value: 29154.802924063024 and parameters: {'iterations': 2497, 'depth': 11, 'learning_rate': 0.029975383358474997, 'l2_leaf_reg': 0.19098717316813021, 'bagging_temperature': 0.06845539156515235, 'random_strength': 0.0069689914380657945, 'border_count': 201, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 15, 'one_hot_max_size': 9}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-07 23:52:52,641] Trial 7 finished with value: 31997.06067390982 and parameters: {'iterations': 1247, 'depth': 9, 'learning_rate': 0.029825763229680738, 'l2_leaf_reg': 9.221575479944116, 'bagging_temperature': 0.18677723093712317, 'random_strength': 0.3891730583783767, 'border_count': 158, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 2, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 00:00:25,229] Trial 8 finished with value: 28988.86284608869 and parameters: {'iterations': 1299, 'depth': 10, 'learning_rate': 0.18611133643941066, 'l2_leaf_reg': 8.582682831406713, 'bagging_temperature': 0.5813935759164771, 'random_strength': 4.299614072800952, 'border_count': 159, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 26, 'one_hot_max_size': 9}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 00:04:46,233] Trial 9 finished with value: 34789.35617640179 and parameters: {'iterations': 872, 'depth': 6, 'learning_rate': 0.019882421355916873, 'l2_leaf_reg': 0.01247346638684972, 'bagging_temperature': 0.009217884552917055, 'random_strength': 5.211268071721683, 'border_count': 255, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 2, 'one_hot_max_size': 2}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 10:11:58,154] Trial 10 finished with value: 29438.619974570323 and parameters: {'iterations': 3000, 'depth': 12, 'learning_rate': 0.08931465703274577, 'l2_leaf_reg': 0.0014448561129101513, 'bagging_temperature': 0.9765651959712666, 'random_strength': 0.06930796373493103, 'border_count': 87, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 10, 'one_hot_max_size': 7}. Best is trial 2 with value: 28027.538142099846.
