[I 2025-01-06 22:09:33,426] A new study created in memory with name: no-name-cd4f6121-3b45-43b2-a5ff-71e184d4cb0f
[I 2025-01-06 22:11:18,727] Trial 0 finished with value: 28830.205861033748 and parameters: {'learning_rate': 0.11593435474666526, 'n_estimators': 962, 'max_depth': 8, 'subsample': 0.9829322558260262, 'colsample_bytree': 0.552458170048122, 'min_child_weight': 4, 'reg_alpha': 0.3952458116753995, 'reg_lambda': 4.1426956639363235, 'gamma': 0.5483139121261398}. Best is trial 0 with value: 28830.205861033748.
[I 2025-01-06 22:13:34,970] Trial 1 finished with value: 28431.71544342381 and parameters: {'learning_rate': 0.12549996913889588, 'n_estimators': 1077, 'max_depth': 9, 'subsample': 0.9873644036813314, 'colsample_bytree': 0.5012041120461624, 'min_child_weight': 2, 'reg_alpha': 0.3932712201251216, 'reg_lambda': 4.569680666290502, 'gamma': 0.5688264762319128}. Best is trial 1 with value: 28431.71544342381.
[I 2025-01-06 22:15:24,401] Trial 2 finished with value: 28715.01199661545 and parameters: {'learning_rate': 0.1139477164835283, 'n_estimators': 1035, 'max_depth': 8, 'subsample': 0.9381971537718108, 'colsample_bytree': 0.5870256990305573, 'min_child_weight': 4, 'reg_alpha': 0.37298118090515253, 'reg_lambda': 4.849870825870515, 'gamma': 0.5464184955849422}. Best is trial 1 with value: 28431.71544342381.
[I 2025-01-06 22:17:06,511] Trial 3 finished with value: 28824.955951756772 and parameters: {'learning_rate': 0.11091296433564324, 'n_estimators': 998, 'max_depth': 8, 'subsample': 0.9729572993322801, 'colsample_bytree': 0.5728800731442248, 'min_child_weight': 2, 'reg_alpha': 0.3782617872079413, 'reg_lambda': 4.268005297645875, 'gamma': 0.6206458585389623}. Best is trial 1 with value: 28431.71544342381.
[I 2025-01-06 22:19:31,589] Trial 4 finished with value: 28487.859563448485 and parameters: {'learning_rate': 0.12959492888178115, 'n_estimators': 935, 'max_depth': 11, 'subsample': 0.95473959303897, 'colsample_bytree': 0.5396702333610157, 'min_child_weight': 4, 'reg_alpha': 0.3737556226717602, 'reg_lambda': 4.12696859940595, 'gamma': 0.6248672922616689}. Best is trial 1 with value: 28431.71544342381.
[I 2025-01-06 22:21:15,295] Trial 5 finished with value: 28424.269074756314 and parameters: {'learning_rate': 0.127053004155693, 'n_estimators': 892, 'max_depth': 9, 'subsample': 0.9513524881671257, 'colsample_bytree': 0.5920962234998501, 'min_child_weight': 1, 'reg_alpha': 0.3748678904825366, 'reg_lambda': 4.5782453015348334, 'gamma': 0.5494958977840193}. Best is trial 5 with value: 28424.269074756314.
[I 2025-01-06 22:24:13,285] Trial 6 finished with value: 28836.95691144639 and parameters: {'learning_rate': 0.11150342245221348, 'n_estimators': 977, 'max_depth': 12, 'subsample': 0.9243990607576826, 'colsample_bytree': 0.5855848547744078, 'min_child_weight': 1, 'reg_alpha': 0.39379385679046314, 'reg_lambda': 4.3425205187335605, 'gamma': 0.613293535713076}. Best is trial 5 with value: 28424.269074756314.
[I 2025-01-06 22:26:06,037] Trial 7 finished with value: 28537.382905118277 and parameters: {'learning_rate': 0.1397577227026362, 'n_estimators': 956, 'max_depth': 9, 'subsample': 0.9332879546740179, 'colsample_bytree': 0.544562426485195, 'min_child_weight': 1, 'reg_alpha': 0.41216376243793185, 'reg_lambda': 4.317807513195907, 'gamma': 0.6169482431523425}. Best is trial 5 with value: 28424.269074756314.
[I 2025-01-06 22:28:12,129] Trial 8 finished with value: 28370.163372802206 and parameters: {'learning_rate': 0.11023450465947794, 'n_estimators': 942, 'max_depth': 10, 'subsample': 0.9394520605940625, 'colsample_bytree': 0.5878286158357646, 'min_child_weight': 4, 'reg_alpha': 0.3837222387729974, 'reg_lambda': 4.57005676138884, 'gamma': 0.5913928532281416}. Best is trial 8 with value: 28370.163372802206.
[I 2025-01-06 22:30:34,869] Trial 9 finished with value: 28411.01240693584 and parameters: {'learning_rate': 0.10565862642263422, 'n_estimators': 1046, 'max_depth': 10, 'subsample': 0.9492855356585751, 'colsample_bytree': 0.5428594783371354, 'min_child_weight': 4, 'reg_alpha': 0.40921683625092703, 'reg_lambda': 4.340451001466063, 'gamma': 0.6128898803173938}. Best is trial 8 with value: 28370.163372802206.
[I 2025-01-06 22:32:56,545] Trial 10 finished with value: 28388.105724828674 and parameters: {'learning_rate': 0.10251796059328637, 'n_estimators': 887, 'max_depth': 11, 'subsample': 0.9633648918502382, 'colsample_bytree': 0.5639572840689371, 'min_child_weight': 3, 'reg_alpha': 0.3833837888718856, 'reg_lambda': 3.92659094462799, 'gamma': 0.583543351120254}. Best is trial 8 with value: 28370.163372802206.
