[I 2025-01-02 23:13:36,950] A new study created in memory with name: no-name-ac203adb-c977-4362-9fa4-d127ab5ea4c5
[I 2025-01-02 23:13:51,043] Trial 0 finished with value: 1048632940.2197137 and parameters: {'learning_rate': 0.05596832673731832, 'n_estimators': 457, 'max_depth': 9, 'subsample': 0.8187560426508718, 'colsample_bytree': 0.9158531270375503, 'min_child_weight': 8, 'reg_alpha': 0.03446318717647653, 'reg_lambda': 2.8288671409502997}. Best is trial 0 with value: 1048632940.2197137.
[I 2025-01-02 23:14:10,612] Trial 1 finished with value: 987869997.6915619 and parameters: {'learning_rate': 0.13706486005607027, 'n_estimators': 485, 'max_depth': 12, 'subsample': 0.9042715528283298, 'colsample_bytree': 0.9347477948872798, 'min_child_weight': 10, 'reg_alpha': 0.08794075314359742, 'reg_lambda': 2.7174495520959}. Best is trial 1 with value: 987869997.6915619.
[I 2025-01-02 23:14:26,886] Trial 2 finished with value: 984130668.1279863 and parameters: {'learning_rate': 0.13317173447454242, 'n_estimators': 524, 'max_depth': 10, 'subsample': 0.8527523753307237, 'colsample_bytree': 0.955804654830636, 'min_child_weight': 8, 'reg_alpha': 0.06981514712331155, 'reg_lambda': 3.603604320789479}. Best is trial 2 with value: 984130668.1279863.
[I 2025-01-02 23:14:40,631] Trial 3 finished with value: 1027289726.5716939 and parameters: {'learning_rate': 0.12685535483758706, 'n_estimators': 498, 'max_depth': 8, 'subsample': 0.8062437529491043, 'colsample_bytree': 0.9775381538151843, 'min_child_weight': 11, 'reg_alpha': 0.043092620689907185, 'reg_lambda': 2.9532433027541485}. Best is trial 2 with value: 984130668.1279863.
[I 2025-01-02 23:14:55,546] Trial 4 finished with value: 1044464493.2135205 and parameters: {'learning_rate': 0.08475506609792172, 'n_estimators': 546, 'max_depth': 8, 'subsample': 0.8547028425153331, 'colsample_bytree': 0.9970812722029933, 'min_child_weight': 9, 'reg_alpha': 0.08343263269419984, 'reg_lambda': 2.566708761039506}. Best is trial 2 with value: 984130668.1279863.
[I 2025-01-02 23:15:09,772] Trial 5 finished with value: 1050853046.1207021 and parameters: {'learning_rate': 0.05393426156587525, 'n_estimators': 482, 'max_depth': 9, 'subsample': 0.8172221292860835, 'colsample_bytree': 0.9155686980491261, 'min_child_weight': 10, 'reg_alpha': 0.0832997644898598, 'reg_lambda': 4.45808058300566}. Best is trial 2 with value: 984130668.1279863.
[I 2025-01-02 23:15:24,157] Trial 6 finished with value: 1008575719.805337 and parameters: {'learning_rate': 0.06216314732590146, 'n_estimators': 438, 'max_depth': 10, 'subsample': 0.862268470982432, 'colsample_bytree': 0.9360755682500248, 'min_child_weight': 7, 'reg_alpha': 0.07266923818942572, 'reg_lambda': 3.855456535350598}. Best is trial 2 with value: 984130668.1279863.
[I 2025-01-02 23:15:45,892] Trial 7 finished with value: 983803078.8037653 and parameters: {'learning_rate': 0.11075710860138296, 'n_estimators': 523, 'max_depth': 12, 'subsample': 0.8896343735779944, 'colsample_bytree': 0.9245401198941952, 'min_child_weight': 8, 'reg_alpha': 0.0905697265557969, 'reg_lambda': 2.566611252585542}. Best is trial 7 with value: 983803078.8037653.
[I 2025-01-02 23:16:08,528] Trial 8 finished with value: 995980424.1670188 and parameters: {'learning_rate': 0.1373241835238776, 'n_estimators': 514, 'max_depth': 12, 'subsample': 0.8924946089106166, 'colsample_bytree': 0.9973179994591469, 'min_child_weight': 6, 'reg_alpha': 0.07277203440848226, 'reg_lambda': 4.249007805100739}. Best is trial 7 with value: 983803078.8037653.
[I 2025-01-02 23:16:59,811] Trial 9 finished with value: 1035097201.7787924 and parameters: {'learning_rate': 0.06059513701072991, 'n_estimators': 542, 'max_depth': 9, 'subsample': 0.8890878352987212, 'colsample_bytree': 0.9046112537188402, 'min_child_weight': 11, 'reg_alpha': 0.06816329500422248, 'reg_lambda': 4.140038891309233}. Best is trial 7 with value: 983803078.8037653.
[I 2025-01-02 23:17:21,090] Trial 10 finished with value: 974125888.8197947 and parameters: {'learning_rate': 0.10693508983288298, 'n_estimators': 600, 'max_depth': 11, 'subsample': 0.9670157473236015, 'colsample_bytree': 0.9572842627859571, 'min_child_weight': 5, 'reg_alpha': 0.09651831563722468, 'reg_lambda': 3.213268120377755}. Best is trial 10 with value: 974125888.8197947.
